date,savings plan_unscaled,savings plan_monthly,isPartial,scale,savings plan
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,80,80,False,0.8,64.0
2005-01-04,100,100,False,1.0,100.0
2005-01-05,89,89,False,0.89,79.21000000000001
2005-01-06,38,38,False,0.38,14.44
2005-01-07,39,39,False,0.39,15.21
2005-01-08,20,20,False,0.2,4.0
2005-01-09,41,41,False,0.41,16.81
2005-01-10,37,37,False,0.37,13.69
2005-01-11,36,36,False,0.36,12.959999999999999
2005-01-12,97,97,False,0.97,94.09
2005-01-13,50,50,False,0.5,25.0
2005-01-14,26,26,False,0.26,6.76
2005-01-15,41,41,False,0.41,16.81
2005-01-16,42,42,False,0.42,17.64
2005-01-17,28,28,False,0.28,7.840000000000001
2005-01-18,49,49,False,0.49,24.009999999999998
2005-01-19,12,12,False,0.12,1.44
2005-01-20,38,38,False,0.38,14.44
2005-01-21,38,38,False,0.38,14.44
2005-01-22,0,0,False,0.0,0.0
2005-01-23,0,0,False,0.0,0.0
2005-01-24,12,12,False,0.12,1.44
2005-01-25,46,46,False,0.46,21.16
2005-01-26,36,36,False,0.36,12.959999999999999
2005-01-27,37,37,False,0.37,13.69
2005-01-28,51,51,False,0.51,26.01
2005-01-29,58,58,False,0.58,33.64
2005-01-30,57,57,False,0.57,32.489999999999995
2005-01-31,23,23,False,0.23,5.29
2005-02-01,64,64,False,0.64,40.96
2005-02-02,33,33,False,0.33,10.89
2005-02-03,91,91,False,0.91,82.81
2005-02-04,44,44,False,0.44,19.36
2005-02-05,27,27,False,0.27,7.290000000000001
2005-02-06,55,55,False,0.55,30.250000000000004
2005-02-07,100,100,False,1.0,100.0
2005-02-08,39,39,False,0.39,15.21
2005-02-09,64,64,False,0.64,40.96
2005-02-10,16,16,False,0.16,2.56
2005-02-11,17,17,False,0.17,2.89
2005-02-12,40,40,False,0.4,16.0
2005-02-13,53,53,False,0.53,28.09
2005-02-14,40,40,False,0.4,16.0
2005-02-15,40,40,False,0.4,16.0
2005-02-16,56,56,False,0.56,31.360000000000003
2005-02-17,57,57,False,0.57,32.489999999999995
2005-02-18,17,17,False,0.17,2.89
2005-02-19,27,27,False,0.27,7.290000000000001
2005-02-20,54,54,False,0.54,29.160000000000004
2005-02-21,18,18,False,0.18,3.2399999999999998
2005-02-22,31,31,False,0.31,9.61
2005-02-23,63,63,False,0.63,39.69
2005-02-24,31,31,False,0.31,9.61
2005-02-25,58,58,False,0.58,33.64
2005-02-26,71,71,False,0.71,50.41
2005-02-27,77,77,False,0.77,59.29
2005-02-28,63,63,False,0.63,39.69
2005-03-01,92,92,False,0.92,84.64
2005-03-02,79,79,False,0.79,62.410000000000004
2005-03-03,34,34,False,0.34,11.56
2005-03-04,34,34,False,0.34,11.56
2005-03-05,79,79,False,0.79,62.410000000000004
2005-03-06,26,26,False,0.26,6.76
2005-03-07,63,63,False,0.63,39.69
2005-03-08,30,30,False,0.3,9.0
2005-03-09,79,79,False,0.79,62.410000000000004
2005-03-10,48,48,False,0.48,23.04
2005-03-11,33,33,False,0.33,10.89
2005-03-12,26,26,False,0.26,6.76
2005-03-13,26,26,False,0.26,6.76
2005-03-14,31,31,False,0.31,9.61
2005-03-15,46,46,False,0.46,21.16
2005-03-16,16,16,False,0.16,2.56
2005-03-17,48,48,False,0.48,23.04
2005-03-18,51,51,False,0.51,26.01
2005-03-19,26,26,False,0.26,6.76
2005-03-20,53,53,False,0.53,28.09
2005-03-21,32,32,False,0.32,10.24
2005-03-22,16,16,False,0.16,2.56
2005-03-23,16,16,False,0.16,2.56
2005-03-24,100,100,False,1.0,100.0
2005-03-25,20,20,False,0.2,4.0
2005-03-26,55,55,False,0.55,30.250000000000004
