date,privilege_unscaled,privilege_monthly,isPartial,scale,privilege
2005-01-01,0,40.0,False,0.4,0.0
2005-01-02,0,40.0,,0.4,0.0
2005-01-03,84,40.0,,0.4,33.6
2005-01-04,40,40.0,,0.4,16.0
2005-01-05,39,40.0,,0.4,15.600000000000001
2005-01-06,40,40.0,,0.4,16.0
2005-01-07,0,40.0,,0.4,0.0
2005-01-08,64,40.0,,0.4,25.6
2005-01-09,32,40.0,,0.4,12.8
2005-01-10,58,40.0,,0.4,23.200000000000003
2005-01-11,38,40.0,,0.4,15.200000000000001
2005-01-12,58,40.0,,0.4,23.200000000000003
2005-01-13,97,40.0,,0.4,38.800000000000004
2005-01-14,0,40.0,,0.4,0.0
2005-01-15,65,40.0,,0.4,26.0
2005-01-16,100,40.0,,0.4,40.0
2005-01-17,89,40.0,,0.4,35.6
2005-01-18,38,40.0,,0.4,15.200000000000001
2005-01-19,59,40.0,,0.4,23.6
2005-01-20,39,40.0,,0.4,15.600000000000001
2005-01-21,20,40.0,,0.4,8.0
2005-01-22,0,40.0,,0.4,0.0
2005-01-23,30,40.0,,0.4,12.0
2005-01-24,76,40.0,,0.4,30.400000000000002
2005-01-25,18,40.0,,0.4,7.2
2005-01-26,56,40.0,,0.4,22.400000000000002
2005-01-27,19,40.0,,0.4,7.6000000000000005
2005-01-28,79,40.0,,0.4,31.6
2005-01-29,62,40.0,,0.4,24.8
2005-01-30,0,40.0,,0.4,0.0
2005-01-31,92,40.0,,0.4,36.800000000000004
2005-02-01,19,38.0,False,0.38,7.22
2005-02-02,59,38.0,,0.38,22.42
2005-02-03,79,38.0,,0.38,30.02
2005-02-04,63,38.0,,0.38,23.94
2005-02-05,100,38.0,,0.38,38.0
2005-02-06,0,38.0,,0.38,0.0
2005-02-07,20,38.0,,0.38,7.6
2005-02-08,38,38.0,,0.38,14.44
2005-02-09,38,38.0,,0.38,14.44
2005-02-10,39,38.0,,0.38,14.82
2005-02-11,82,38.0,,0.38,31.16
2005-02-12,32,38.0,,0.38,12.16
2005-02-13,0,38.0,,0.38,0.0
2005-02-14,19,38.0,,0.38,7.22
2005-02-15,39,38.0,,0.38,14.82
2005-02-16,77,38.0,,0.38,29.26
2005-02-17,59,38.0,,0.38,22.42
2005-02-18,21,38.0,,0.38,7.98
2005-02-19,0,38.0,,0.38,0.0
2005-02-20,66,38.0,,0.38,25.080000000000002
2005-02-21,22,38.0,,0.38,8.36
2005-02-22,56,38.0,,0.38,21.28
2005-02-23,0,38.0,,0.38,0.0
2005-02-24,19,38.0,,0.38,7.22
2005-02-25,82,38.0,,0.38,31.16
2005-02-26,0,38.0,,0.38,0.0
2005-02-27,46,38.0,,0.38,17.48
2005-02-28,94,38.0,,0.38,35.72
2005-03-01,65,38.0,False,0.38,24.7
2005-03-02,67,38.0,,0.38,25.46
2005-03-03,71,38.0,,0.38,26.98
2005-03-04,73,38.0,,0.38,27.740000000000002
2005-03-05,56,38.0,,0.38,21.28
2005-03-06,28,38.0,,0.38,10.64
2005-03-07,100,38.0,,0.38,38.0
2005-03-08,16,38.0,,0.38,6.08
2005-03-09,17,38.0,,0.38,6.46
2005-03-10,84,38.0,,0.38,31.92
2005-03-11,35,38.0,,0.38,13.3
2005-03-12,55,38.0,,0.38,20.9
2005-03-13,0,38.0,,0.38,0.0
2005-03-14,17,38.0,,0.38,6.46
2005-03-15,98,38.0,,0.38,37.24
2005-03-16,50,38.0,,0.38,19.0
2005-03-17,17,38.0,,0.38,6.46
2005-03-18,0,38.0,,0.38,0.0
2005-03-19,0,38.0,,0.38,0.0
2005-03-20,56,38.0,,0.38,21.28
2005-03-21,50,38.0,,0.38,19.0
2005-03-22,65,38.0,,0.38,24.7
2005-03-23,82,38.0,,0.38,31.16
2005-03-24,53,38.0,,0.38,20.14
2005-03-25,21,38.0,,0.38,7.98
2005-03-26,0,38.0,,0.38,0.0
2005-03-27,57,38.0,,0.38,21.66
2005-03-28,69,38.0,,0.38,26.22
2005-03-29,17,38.0,,0.38,6.46
2005-03-30,17,38.0,,0.38,6.46
2005-03-31,87,38.0,,0.38,33.06
2005-04-01,31,52.0,False,0.52,16.12
2005-04-02,24,52.0,,0.52,12.48
2005-04-03,0,52.0,,0.52,0.0
2005-04-04,0,52.0,,0.52,0.0
2005-04-05,0,52.0,,0.52,0.0
2005-04-06,38,52.0,,0.52,19.76
2005-04-07,29,52.0,,0.52,15.08
2005-04-08,78,52.0,,0.52,40.56
2005-04-09,51,52.0,,0.52,26.52
2005-04-10,100,52.0,,0.52,52.0
2005-04-11,42,52.0,,0.52,21.84
2005-04-12,54,52.0,,0.52,28.080000000000002
2005-04-13,96,52.0,,0.52,49.92
2005-04-14,86,52.0,,0.52,44.72
2005-04-15,61,52.0,,0.52,31.720000000000002
2005-04-16,0,52.0,,0.52,0.0
2005-04-17,76,52.0,,0.52,39.52
2005-04-18,28,52.0,,0.52,14.56
2005-04-19,68,52.0,,0.52,35.36
2005-04-20,28,52.0,,0.52,14.56
2005-04-21,29,52.0,,0.52,15.08
2005-04-22,46,52.0,,0.52,23.92
2005-04-23,23,52.0,,0.52,11.96
2005-04-24,23,52.0,,0.52,11.96
2005-04-25,41,52.0,,0.52,21.32
2005-04-26,67,52.0,,0.52,34.84
2005-04-27,41,52.0,,0.52,21.32
2005-04-28,14,52.0,,0.52,7.28
2005-04-29,44,52.0,,0.52,22.880000000000003
2005-04-30,0,52.0,,0.52,0.0
2005-05-01,77,43.0,False,0.43,33.11
2005-05-02,15,43.0,,0.43,6.45
2005-05-03,30,43.0,,0.43,12.9
2005-05-04,45,43.0,,0.43,19.35
2005-05-05,62,43.0,,0.43,26.66
2005-05-06,34,43.0,,0.43,14.62
2005-05-07,28,43.0,,0.43,12.04
2005-05-08,84,43.0,,0.43,36.12
2005-05-09,91,43.0,,0.43,39.13
2005-05-10,60,43.0,,0.43,25.8
2005-05-11,61,43.0,,0.43,26.23
2005-05-12,46,43.0,,0.43,19.78
2005-05-13,100,43.0,,0.43,43.0
2005-05-14,27,43.0,,0.43,11.61
2005-05-15,53,43.0,,0.43,22.79
2005-05-16,31,43.0,,0.43,13.33
2005-05-17,30,43.0,,0.43,12.9
2005-05-18,0,43.0,,0.43,0.0
2005-05-19,95,43.0,,0.43,40.85
2005-05-20,68,43.0,,0.43,29.24
2005-05-21,28,43.0,,0.43,12.04
2005-05-22,0,43.0,,0.43,0.0
2005-05-23,15,43.0,,0.43,6.45
2005-05-24,91,43.0,,0.43,39.13
2005-05-25,15,43.0,,0.43,6.45
2005-05-26,16,43.0,,0.43,6.88
2005-05-27,18,43.0,,0.43,7.74
2005-05-28,0,43.0,,0.43,0.0
2005-05-29,30,43.0,,0.43,12.9
2005-05-30,0,43.0,,0.43,0.0
2005-05-31,47,43.0,,0.43,20.21
2005-06-01,100,49.0,False,0.49,49.0
2005-06-02,29,49.0,,0.49,14.209999999999999
2005-06-03,63,49.0,,0.49,30.87
2005-06-04,0,49.0,,0.49,0.0
2005-06-05,26,49.0,,0.49,12.74
2005-06-06,15,49.0,,0.49,7.35
2005-06-07,59,49.0,,0.49,28.91
2005-06-08,58,49.0,,0.49,28.419999999999998
2005-06-09,30,49.0,,0.49,14.7
2005-06-10,32,49.0,,0.49,15.68
2005-06-11,0,49.0,,0.49,0.0
2005-06-12,26,49.0,,0.49,12.74
2005-06-13,30,49.0,,0.49,14.7
2005-06-14,15,49.0,,0.49,7.35
2005-06-15,15,49.0,,0.49,7.35
2005-06-16,92,49.0,,0.49,45.08
2005-06-17,65,49.0,,0.49,31.849999999999998
2005-06-18,26,49.0,,0.49,12.74
2005-06-19,27,49.0,,0.49,13.23
2005-06-20,30,49.0,,0.49,14.7
2005-06-21,15,49.0,,0.49,7.35
2005-06-22,46,49.0,,0.49,22.54
2005-06-23,31,49.0,,0.49,15.19
2005-06-24,83,49.0,,0.49,40.67
2005-06-25,26,49.0,,0.49,12.74
2005-06-26,0,49.0,,0.49,0.0
2005-06-27,15,49.0,,0.49,7.35
2005-06-28,43,49.0,,0.49,21.07
2005-06-29,59,49.0,,0.49,28.91
2005-06-30,46,49.0,,0.49,22.54
2005-07-01,35,27.0,False,0.27,9.450000000000001
2005-07-02,0,27.0,,0.27,0.0
2005-07-03,0,27.0,,0.27,0.0
2005-07-04,78,27.0,,0.27,21.060000000000002
2005-07-05,81,27.0,,0.27,21.87
2005-07-06,44,27.0,,0.27,11.88
2005-07-07,45,27.0,,0.27,12.15
2005-07-08,47,27.0,,0.27,12.690000000000001
2005-07-09,73,27.0,,0.27,19.71
2005-07-10,0,27.0,,0.27,0.0
2005-07-11,0,27.0,,0.27,0.0
2005-07-12,14,27.0,,0.27,3.7800000000000002
2005-07-13,87,27.0,,0.27,23.490000000000002
2005-07-14,45,27.0,,0.27,12.15
2005-07-15,64,27.0,,0.27,17.28
2005-07-16,100,27.0,,0.27,27.0
2005-07-17,25,27.0,,0.27,6.75
2005-07-18,15,27.0,,0.27,4.050000000000001
2005-07-19,57,27.0,,0.27,15.39
2005-07-20,29,27.0,,0.27,7.83
2005-07-21,91,27.0,,0.27,24.57
2005-07-22,48,27.0,,0.27,12.96
