date,procter_unscaled,procter_monthly,isPartial,scale,procter
2005-01-01,30,100.0,False,1.0,30.0
2005-01-02,18,100.0,,1.0,18.0
2005-01-03,64,100.0,,1.0,64.0
2005-01-04,10,100.0,,1.0,10.0
2005-01-05,10,100.0,,1.0,10.0
2005-01-06,21,100.0,,1.0,21.0
2005-01-07,21,100.0,,1.0,21.0
2005-01-08,0,100.0,,1.0,0.0
2005-01-09,0,100.0,,1.0,0.0
2005-01-10,30,100.0,,1.0,30.0
2005-01-11,39,100.0,,1.0,39.0
2005-01-12,39,100.0,,1.0,39.0
2005-01-13,20,100.0,,1.0,20.0
2005-01-14,31,100.0,,1.0,31.0
2005-01-15,65,100.0,,1.0,65.0
2005-01-16,34,100.0,,1.0,34.0
2005-01-17,45,100.0,,1.0,45.0
2005-01-18,39,100.0,,1.0,39.0
2005-01-19,20,100.0,,1.0,20.0
2005-01-20,40,100.0,,1.0,40.0
2005-01-21,0,100.0,,1.0,0.0
2005-01-22,31,100.0,,1.0,31.0
2005-01-23,0,100.0,,1.0,0.0
2005-01-24,29,100.0,,1.0,29.0
2005-01-25,9,100.0,,1.0,9.0
2005-01-26,29,100.0,,1.0,29.0
2005-01-27,49,100.0,,1.0,49.0
2005-01-28,100,100.0,,1.0,100.0
2005-01-29,94,100.0,,1.0,94.0
2005-01-30,31,100.0,,1.0,31.0
2005-01-31,19,100.0,,1.0,19.0
2005-02-01,55,92.0,False,0.92,50.6
2005-02-02,71,92.0,,0.92,65.32000000000001
2005-02-03,100,92.0,,0.92,92.0
2005-02-04,61,92.0,,0.92,56.120000000000005
2005-02-05,0,92.0,,0.92,0.0
2005-02-06,0,92.0,,0.92,0.0
2005-02-07,72,92.0,,0.92,66.24000000000001
2005-02-08,54,92.0,,0.92,49.68
2005-02-09,42,92.0,,0.92,38.64
2005-02-10,28,92.0,,0.92,25.76
2005-02-11,44,92.0,,0.92,40.480000000000004
2005-02-12,23,92.0,,0.92,21.16
2005-02-13,45,92.0,,0.92,41.4
2005-02-14,70,92.0,,0.92,64.4
2005-02-15,14,92.0,,0.92,12.88
2005-02-16,14,92.0,,0.92,12.88
2005-02-17,56,92.0,,0.92,51.52
2005-02-18,29,92.0,,0.92,26.68
2005-02-19,0,92.0,,0.92,0.0
2005-02-20,0,92.0,,0.92,0.0
2005-02-21,77,92.0,,0.92,70.84
2005-02-22,14,92.0,,0.92,12.88
2005-02-23,41,92.0,,0.92,37.72
2005-02-24,41,92.0,,0.92,37.72
2005-02-25,15,92.0,,0.92,13.8
2005-02-26,0,92.0,,0.92,0.0
2005-02-27,34,92.0,,0.92,31.28
2005-02-28,27,92.0,,0.92,24.84
2005-03-01,93,74.0,False,0.74,68.82
2005-03-02,62,74.0,,0.74,45.88
2005-03-03,65,74.0,,0.74,48.1
2005-03-04,12,74.0,,0.74,8.879999999999999
2005-03-05,28,74.0,,0.74,20.72
2005-03-06,28,74.0,,0.74,20.72
2005-03-07,100,74.0,,0.74,74.0
2005-03-08,22,74.0,,0.74,16.28
2005-03-09,39,74.0,,0.74,28.86
