date,profit loss_unscaled,profit loss_monthly,isPartial,scale,profit loss
2005-01-01,75,59.0,False,0.59,44.25
2005-01-02,0,59.0,,0.59,0.0
2005-01-03,26,59.0,,0.59,15.34
2005-01-04,25,59.0,,0.59,14.75
2005-01-05,0,59.0,,0.59,0.0
2005-01-06,0,59.0,,0.59,0.0
2005-01-07,0,59.0,,0.59,0.0
2005-01-08,82,59.0,,0.59,48.379999999999995
2005-01-09,0,59.0,,0.59,0.0
2005-01-10,100,59.0,,0.59,59.0
2005-01-11,24,59.0,,0.59,14.16
2005-01-12,0,59.0,,0.59,0.0
2005-01-13,0,59.0,,0.59,0.0
2005-01-14,26,59.0,,0.59,15.34
2005-01-15,41,59.0,,0.59,24.189999999999998
2005-01-16,42,59.0,,0.59,24.779999999999998
2005-01-17,0,59.0,,0.59,0.0
2005-01-18,0,59.0,,0.59,0.0
2005-01-19,49,59.0,,0.59,28.91
2005-01-20,49,59.0,,0.59,28.91
2005-01-21,0,59.0,,0.59,0.0
2005-01-22,0,59.0,,0.59,0.0
2005-01-23,0,59.0,,0.59,0.0
2005-01-24,25,59.0,,0.59,14.75
2005-01-25,23,59.0,,0.59,13.569999999999999
2005-01-26,24,59.0,,0.59,14.16
2005-01-27,0,59.0,,0.59,0.0
2005-01-28,25,59.0,,0.59,14.75
2005-01-29,0,59.0,,0.59,0.0
2005-01-30,38,59.0,,0.59,22.419999999999998
2005-01-31,24,59.0,,0.59,14.16
2005-02-01,45,77.0,False,0.77,34.65
2005-02-02,46,77.0,,0.77,35.42
2005-02-03,0,77.0,,0.77,0.0
2005-02-04,0,77.0,,0.77,0.0
2005-02-05,0,77.0,,0.77,0.0
2005-02-06,0,77.0,,0.77,0.0
2005-02-07,0,77.0,,0.77,0.0
2005-02-08,33,77.0,,0.77,25.41
2005-02-09,23,77.0,,0.77,17.71
2005-02-10,0,77.0,,0.77,0.0
2005-02-11,24,77.0,,0.77,18.48
2005-02-12,0,77.0,,0.77,0.0
2005-02-13,0,77.0,,0.77,0.0
2005-02-14,23,77.0,,0.77,17.71
2005-02-15,0,77.0,,0.77,0.0
2005-02-16,23,77.0,,0.77,17.71
2005-02-17,0,77.0,,0.77,0.0
2005-02-18,0,77.0,,0.77,0.0
2005-02-19,0,77.0,,0.77,0.0
2005-02-20,0,77.0,,0.77,0.0
2005-02-21,76,77.0,,0.77,58.52
2005-02-22,22,77.0,,0.77,16.94
2005-02-23,44,77.0,,0.77,33.88
2005-02-24,44,77.0,,0.77,33.88
2005-02-25,0,77.0,,0.77,0.0
2005-02-26,100,77.0,,0.77,77.0
2005-02-27,0,77.0,,0.77,0.0
2005-02-28,66,77.0,,0.77,50.82
2005-03-01,75,74.0,False,0.74,55.5
2005-03-02,0,74.0,,0.74,0.0
2005-03-03,0,74.0,,0.74,0.0
2005-03-04,0,74.0,,0.74,0.0
2005-03-05,0,74.0,,0.74,0.0
2005-03-06,64,74.0,,0.74,47.36
2005-03-07,38,74.0,,0.74,28.12
2005-03-08,37,74.0,,0.74,27.38
2005-03-09,38,74.0,,0.74,28.12
2005-03-10,59,74.0,,0.74,43.66
2005-03-11,0,74.0,,0.74,0.0
2005-03-12,63,74.0,,0.74,46.62
2005-03-13,63,74.0,,0.74,46.62
2005-03-14,77,74.0,,0.74,56.98
2005-03-15,0,74.0,,0.74,0.0
2005-03-16,57,74.0,,0.74,42.18
2005-03-17,78,74.0,,0.74,57.72
2005-03-18,43,74.0,,0.74,31.82
2005-03-19,0,74.0,,0.74,0.0
2005-03-20,0,74.0,,0.74,0.0
2005-03-21,38,74.0,,0.74,28.12
2005-03-22,38,74.0,,0.74,28.12
2005-03-23,38,74.0,,0.74,28.12
2005-03-24,0,74.0,,0.74,0.0
2005-03-25,48,74.0,,0.74,35.519999999999996
2005-03-26,67,74.0,,0.74,49.58
2005-03-27,44,74.0,,0.74,32.56
2005-03-28,0,74.0,,0.74,0.0
2005-03-29,77,74.0,,0.74,56.98
2005-03-30,39,74.0,,0.74,28.86
2005-03-31,100,74.0,,0.74,74.0
2005-04-01,0,49.0,False,0.49,0.0
2005-04-02,0,49.0,,0.49,0.0
2005-04-03,0,49.0,,0.49,0.0
2005-04-04,100,49.0,,0.49,49.0
2005-04-05,0,49.0,,0.49,0.0
2005-04-06,65,49.0,,0.49,31.849999999999998
2005-04-07,48,49.0,,0.49,23.52
2005-04-08,26,49.0,,0.49,12.74
2005-04-09,0,49.0,,0.49,0.0
2005-04-10,63,49.0,,0.49,30.87
2005-04-11,0,49.0,,0.49,0.0
2005-04-12,33,49.0,,0.49,16.169999999999998
2005-04-13,46,49.0,,0.49,22.54
2005-04-14,25,49.0,,0.49,12.25
2005-04-15,76,49.0,,0.49,37.24
2005-04-16,0,49.0,,0.49,0.0
2005-04-17,0,49.0,,0.49,0.0
2005-04-18,0,49.0,,0.49,0.0
2005-04-19,23,49.0,,0.49,11.27
2005-04-20,24,49.0,,0.49,11.76
2005-04-21,62,49.0,,0.49,30.38
2005-04-22,26,49.0,,0.49,12.74
2005-04-23,0,49.0,,0.49,0.0
2005-04-24,39,49.0,,0.49,19.11
2005-04-25,23,49.0,,0.49,11.27
2005-04-26,68,49.0,,0.49,33.32
2005-04-27,0,49.0,,0.49,0.0
2005-04-28,23,49.0,,0.49,11.27
2005-04-29,0,49.0,,0.49,0.0
2005-04-30,0,49.0,,0.49,0.0
2005-05-01,0,45.0,False,0.45,0.0
2005-05-02,0,45.0,,0.45,0.0
2005-05-03,26,45.0,,0.45,11.700000000000001
2005-05-04,27,45.0,,0.45,12.15
2005-05-05,0,45.0,,0.45,0.0
2005-05-06,0,45.0,,0.45,0.0
2005-05-07,0,45.0,,0.45,0.0
2005-05-08,100,45.0,,0.45,45.0
2005-05-09,27,45.0,,0.45,12.15
2005-05-10,27,45.0,,0.45,12.15
2005-05-11,0,45.0,,0.45,0.0
2005-05-12,28,45.0,,0.45,12.6
2005-05-13,30,45.0,,0.45,13.5
2005-05-14,0,45.0,,0.45,0.0
2005-05-15,0,45.0,,0.45,0.0
2005-05-16,0,45.0,,0.45,0.0
2005-05-17,27,45.0,,0.45,12.15
2005-05-18,55,45.0,,0.45,24.75
2005-05-19,29,45.0,,0.45,13.05
2005-05-20,30,45.0,,0.45,13.5
2005-05-21,0,45.0,,0.45,0.0
2005-05-22,0,45.0,,0.45,0.0
2005-05-23,28,45.0,,0.45,12.6
2005-05-24,27,45.0,,0.45,12.15
2005-05-25,27,45.0,,0.45,12.15
2005-05-26,29,45.0,,0.45,13.05
2005-05-27,32,45.0,,0.45,14.4
2005-05-28,0,45.0,,0.45,0.0
2005-05-29,0,45.0,,0.45,0.0
2005-05-30,0,45.0,,0.45,0.0
2005-05-31,0,45.0,,0.45,0.0
2005-06-01,30,61.0,False,0.61,18.3
2005-06-02,31,61.0,,0.61,18.91
2005-06-03,32,61.0,,0.61,19.52
2005-06-04,0,61.0,,0.61,0.0
2005-06-05,0,61.0,,0.61,0.0
2005-06-06,0,61.0,,0.61,0.0
2005-06-07,0,61.0,,0.61,0.0
2005-06-08,0,61.0,,0.61,0.0
2005-06-09,0,61.0,,0.61,0.0
2005-06-10,100,61.0,,0.61,61.0
2005-06-11,0,61.0,,0.61,0.0
2005-06-12,54,61.0,,0.61,32.94
2005-06-13,0,61.0,,0.61,0.0
2005-06-14,30,61.0,,0.61,18.3
2005-06-15,31,61.0,,0.61,18.91
2005-06-16,0,61.0,,0.61,0.0
2005-06-17,0,61.0,,0.61,0.0
2005-06-18,0,61.0,,0.61,0.0
2005-06-19,0,61.0,,0.61,0.0
2005-06-20,0,61.0,,0.61,0.0
2005-06-21,0,61.0,,0.61,0.0
2005-06-22,0,61.0,,0.61,0.0
2005-06-23,0,61.0,,0.61,0.0
2005-06-24,35,61.0,,0.61,21.349999999999998
2005-06-25,0,61.0,,0.61,0.0
2005-06-26,0,61.0,,0.61,0.0
2005-06-27,31,61.0,,0.61,18.91
2005-06-28,0,61.0,,0.61,0.0
2005-06-29,93,61.0,,0.61,56.73
2005-06-30,32,61.0,,0.61,19.52
2005-07-01,0,41.0,False,0.41,0.0
2005-07-02,0,41.0,,0.41,0.0
2005-07-03,0,41.0,,0.41,0.0
2005-07-04,0,41.0,,0.41,0.0
2005-07-05,55,41.0,,0.41,22.549999999999997
2005-07-06,51,41.0,,0.41,20.91
2005-07-07,51,41.0,,0.41,20.91
2005-07-08,0,41.0,,0.41,0.0
2005-07-09,0,41.0,,0.41,0.0
2005-07-10,0,41.0,,0.41,0.0
2005-07-11,0,41.0,,0.41,0.0
2005-07-12,0,41.0,,0.41,0.0
2005-07-13,100,41.0,,0.41,41.0
2005-07-14,51,41.0,,0.41,20.91
2005-07-15,55,41.0,,0.41,22.549999999999997
2005-07-16,0,41.0,,0.41,0.0
2005-07-17,0,41.0,,0.41,0.0
2005-07-18,0,41.0,,0.41,0.0
2005-07-19,0,41.0,,0.41,0.0
2005-07-20,50,41.0,,0.41,20.5
2005-07-21,51,41.0,,0.41,20.91
2005-07-22,55,41.0,,0.41,22.549999999999997
2005-07-23,0,41.0,,0.41,0.0
2005-07-24,0,41.0,,0.41,0.0
2005-07-25,50,41.0,,0.41,20.5
2005-07-26,73,41.0,,0.41,29.93
2005-07-27,0,41.0,,0.41,0.0
2005-07-28,52,41.0,,0.41,21.32
2005-07-29,0,41.0,,0.41,0.0
2005-07-30,0,41.0,,0.41,0.0
2005-07-31,0,41.0,,0.41,0.0
2005-08-01,25,61.0,False,0.61,15.25
2005-08-02,49,61.0,,0.61,29.89
2005-08-03,0,61.0,,0.61,0.0
2005-08-04,26,61.0,,0.61,15.86
2005-08-05,27,61.0,,0.61,16.47
2005-08-06,0,61.0,,0.61,0.0
2005-08-07,0,61.0,,0.61,0.0
2005-08-08,0,61.0,,0.61,0.0
2005-08-09,37,61.0,,0.61,22.57
2005-08-10,100,61.0,,0.61,61.0
2005-08-11,25,61.0,,0.61,15.25
