date,profit_unscaled,profit_monthly,isPartial,scale,profit
2005-01-01,54,54,False,0.54,29.160000000000004
2005-01-02,56,56,False,0.56,31.360000000000003
2005-01-03,75,75,False,0.75,56.25
2005-01-04,79,79,False,0.79,62.410000000000004
2005-01-05,78,78,False,0.78,60.84
2005-01-06,73,73,False,0.73,53.29
2005-01-07,60,60,False,0.6,36.0
2005-01-08,59,59,False,0.59,34.809999999999995
2005-01-09,41,41,False,0.41,16.81
2005-01-10,98,98,False,0.98,96.03999999999999
2005-01-11,86,86,False,0.86,73.96
2005-01-12,73,73,False,0.73,53.29
2005-01-13,71,71,False,0.71,50.41
2005-01-14,88,88,False,0.88,77.44
2005-01-15,41,41,False,0.41,16.81
2005-01-16,30,30,False,0.3,9.0
2005-01-17,80,80,False,0.8,64.0
2005-01-18,80,80,False,0.8,64.0
2005-01-19,53,53,False,0.53,28.09
2005-01-20,100,100,False,1.0,100.0
2005-01-21,77,77,False,0.77,59.29
2005-01-22,50,50,False,0.5,25.0
2005-01-23,64,64,False,0.64,40.96
2005-01-24,90,90,False,0.9,81.0
2005-01-25,87,87,False,0.87,75.69
2005-01-26,93,93,False,0.93,86.49000000000001
2005-01-27,63,63,False,0.63,39.69
2005-01-28,67,67,False,0.67,44.89
2005-01-29,67,67,False,0.67,44.89
2005-01-30,81,81,False,0.81,65.61
2005-01-31,84,84,False,0.84,70.56
2005-02-01,60,60,False,0.6,36.0
2005-02-02,75,75,False,0.75,56.25
2005-02-03,48,48,False,0.48,23.04
2005-02-04,77,77,False,0.77,59.29
2005-02-05,57,57,False,0.57,32.489999999999995
2005-02-06,75,75,False,0.75,56.25
2005-02-07,76,76,False,0.76,57.76
2005-02-08,68,68,False,0.68,46.24
2005-02-09,91,91,False,0.91,82.81
2005-02-10,91,91,False,0.91,82.81
2005-02-11,53,53,False,0.53,28.09
2005-02-12,78,78,False,0.78,60.84
2005-02-13,76,76,False,0.76,57.76
2005-02-14,68,68,False,0.68,46.24
2005-02-15,70,70,False,0.7,49.0
2005-02-16,100,100,False,1.0,100.0
2005-02-17,67,67,False,0.67,44.89
2005-02-18,67,67,False,0.67,44.89
2005-02-19,33,33,False,0.33,10.89
2005-02-20,79,79,False,0.79,62.410000000000004
2005-02-21,82,82,False,0.82,67.24
2005-02-22,94,94,False,0.94,88.36
2005-02-23,72,72,False,0.72,51.839999999999996
2005-02-24,56,56,False,0.56,31.360000000000003
2005-02-25,95,95,False,0.95,90.25
2005-02-26,88,88,False,0.88,77.44
2005-02-27,32,32,False,0.32,10.24
2005-02-28,75,75,False,0.75,56.25
2005-03-01,56,56,False,0.56,31.360000000000003
2005-03-02,95,95,False,0.95,90.25
2005-03-03,80,80,False,0.8,64.0
2005-03-04,53,53,False,0.53,28.09
2005-03-05,45,45,False,0.45,20.25
2005-03-06,27,27,False,0.27,7.290000000000001
2005-03-07,67,67,False,0.67,44.89
2005-03-08,86,86,False,0.86,73.96
2005-03-09,100,100,False,1.0,100.0
2005-03-10,63,63,False,0.63,39.69
2005-03-11,63,63,False,0.63,39.69
2005-03-12,22,22,False,0.22,4.84
2005-03-13,58,58,False,0.58,33.64
2005-03-14,81,81,False,0.81,65.61
2005-03-15,49,49,False,0.49,24.009999999999998
2005-03-16,97,97,False,0.97,94.09
2005-03-17,47,47,False,0.47,22.09
2005-03-18,56,56,False,0.56,31.360000000000003
2005-03-19,53,53,False,0.53,28.09
2005-03-20,37,37,False,0.37,13.69
2005-03-21,62,62,False,0.62,38.44
2005-03-22,78,78,False,0.78,60.84
2005-03-23,59,59,False,0.59,34.809999999999995
2005-03-24,80,80,False,0.8,64.0
2005-03-25,40,40,False,0.4,16.0
2005-03-26,29,29,False,0.29,8.41
2005-03-27,40,40,False,0.4,16.0
