date,prosperity_unscaled,prosperity_monthly,isPartial,scale,prosperity
2005-01-01,0,31.0,False,0.31,0.0
2005-01-02,41,31.0,,0.31,12.709999999999999
2005-01-03,100,31.0,,0.31,31.0
2005-01-04,0,31.0,,0.31,0.0
2005-01-05,47,31.0,,0.31,14.57
2005-01-06,72,31.0,,0.31,22.32
2005-01-07,98,31.0,,0.31,30.38
2005-01-08,0,31.0,,0.31,0.0
2005-01-09,0,31.0,,0.31,0.0
2005-01-10,93,31.0,,0.31,28.83
2005-01-11,23,31.0,,0.31,7.13
2005-01-12,0,31.0,,0.31,0.0
2005-01-13,23,31.0,,0.31,7.13
2005-01-14,73,31.0,,0.31,22.63
2005-01-15,39,31.0,,0.31,12.09
2005-01-16,40,31.0,,0.31,12.4
2005-01-17,0,31.0,,0.31,0.0
2005-01-18,23,31.0,,0.31,7.13
2005-01-19,70,31.0,,0.31,21.7
2005-01-20,71,31.0,,0.31,22.01
2005-01-21,24,31.0,,0.31,7.4399999999999995
2005-01-22,0,31.0,,0.31,0.0
2005-01-23,36,31.0,,0.31,11.16
2005-01-24,23,31.0,,0.31,7.13
2005-01-25,0,31.0,,0.31,0.0
2005-01-26,68,31.0,,0.31,21.08
2005-01-27,92,31.0,,0.31,28.52
2005-01-28,70,31.0,,0.31,21.7
2005-01-29,73,31.0,,0.31,22.63
2005-01-30,36,31.0,,0.31,11.16
2005-01-31,45,31.0,,0.31,13.95
2005-02-01,25,39.0,False,0.39,9.75
2005-02-02,26,39.0,,0.39,10.14
2005-02-03,13,39.0,,0.39,5.07
2005-02-04,28,39.0,,0.39,10.92
2005-02-05,22,39.0,,0.39,8.58
2005-02-06,22,39.0,,0.39,8.58
2005-02-07,13,39.0,,0.39,5.07
2005-02-08,37,39.0,,0.39,14.43
2005-02-09,13,39.0,,0.39,5.07
2005-02-10,13,39.0,,0.39,5.07
2005-02-11,27,39.0,,0.39,10.530000000000001
2005-02-12,22,39.0,,0.39,8.58
2005-02-13,21,39.0,,0.39,8.19
2005-02-14,26,39.0,,0.39,10.14
2005-02-15,51,39.0,,0.39,19.89
2005-02-16,25,39.0,,0.39,9.75
2005-02-17,13,39.0,,0.39,5.07
2005-02-18,14,39.0,,0.39,5.46
2005-02-19,21,39.0,,0.39,8.19
2005-02-20,0,39.0,,0.39,0.0
2005-02-21,14,39.0,,0.39,5.46
2005-02-22,100,39.0,,0.39,39.0
2005-02-23,25,39.0,,0.39,9.75
2005-02-24,25,39.0,,0.39,9.75
2005-02-25,14,39.0,,0.39,5.46
2005-02-26,57,39.0,,0.39,22.23
