date,rewards_unscaled,rewards_monthly,isPartial,scale,rewards
2005-01-01,92,24.0,False,0.24,22.08
2005-01-02,74,24.0,,0.24,17.759999999999998
2005-01-03,97,24.0,,0.24,23.279999999999998
2005-01-04,77,24.0,,0.24,18.48
2005-01-05,61,24.0,,0.24,14.639999999999999
2005-01-06,70,24.0,,0.24,16.8
2005-01-07,60,24.0,,0.24,14.399999999999999
2005-01-08,63,24.0,,0.24,15.12
2005-01-09,62,24.0,,0.24,14.879999999999999
2005-01-10,64,24.0,,0.24,15.36
2005-01-11,69,24.0,,0.24,16.56
2005-01-12,60,24.0,,0.24,14.399999999999999
2005-01-13,34,24.0,,0.24,8.16
2005-01-14,47,24.0,,0.24,11.28
2005-01-15,88,24.0,,0.24,21.119999999999997
2005-01-16,65,24.0,,0.24,15.6
2005-01-17,56,24.0,,0.24,13.44
2005-01-18,100,24.0,,0.24,24.0
2005-01-19,38,24.0,,0.24,9.12
2005-01-20,76,24.0,,0.24,18.24
2005-01-21,67,24.0,,0.24,16.08
2005-01-22,65,24.0,,0.24,15.6
2005-01-23,81,24.0,,0.24,19.439999999999998
2005-01-24,52,24.0,,0.24,12.48
2005-01-25,83,24.0,,0.24,19.919999999999998
2005-01-26,48,24.0,,0.24,11.52
2005-01-27,37,24.0,,0.24,8.879999999999999
2005-01-28,72,24.0,,0.24,17.28
2005-01-29,41,24.0,,0.24,9.84
2005-01-30,75,24.0,,0.24,18.0
2005-01-31,54,24.0,,0.24,12.959999999999999
2005-02-01,67,24.0,False,0.24,16.08
2005-02-02,31,24.0,,0.24,7.4399999999999995
2005-02-03,62,24.0,,0.24,14.879999999999999
2005-02-04,57,24.0,,0.24,13.68
2005-02-05,70,24.0,,0.24,16.8
2005-02-06,84,24.0,,0.24,20.16
2005-02-07,73,24.0,,0.24,17.52
2005-02-08,25,24.0,,0.24,6.0
2005-02-09,64,24.0,,0.24,15.36
2005-02-10,72,24.0,,0.24,17.28
2005-02-11,59,24.0,,0.24,14.16
2005-02-12,63,24.0,,0.24,15.12
2005-02-13,74,24.0,,0.24,17.759999999999998
2005-02-14,49,24.0,,0.24,11.76
2005-02-15,63,24.0,,0.24,15.12
2005-02-16,67,24.0,,0.24,16.08
2005-02-17,53,24.0,,0.24,12.719999999999999
2005-02-18,100,24.0,,0.24,24.0
2005-02-19,75,24.0,,0.24,18.0
2005-02-20,51,24.0,,0.24,12.24
2005-02-21,58,24.0,,0.24,13.92
2005-02-22,77,24.0,,0.24,18.48
2005-02-23,88,24.0,,0.24,21.119999999999997
2005-02-24,59,24.0,,0.24,14.16
2005-02-25,71,24.0,,0.24,17.04
2005-02-26,33,24.0,,0.24,7.92
2005-02-27,54,24.0,,0.24,12.959999999999999
2005-02-28,63,24.0,,0.24,15.12
2005-03-01,56,25.0,False,0.25,14.0
2005-03-02,89,25.0,,0.25,22.25
2005-03-03,65,25.0,,0.25,16.25
2005-03-04,67,25.0,,0.25,16.75
2005-03-05,58,25.0,,0.25,14.5
2005-03-06,52,25.0,,0.25,13.0
2005-03-07,88,25.0,,0.25,22.0
2005-03-08,74,25.0,,0.25,18.5
2005-03-09,81,25.0,,0.25,20.25
2005-03-10,47,25.0,,0.25,11.75
2005-03-11,77,25.0,,0.25,19.25
2005-03-12,63,25.0,,0.25,15.75
2005-03-13,63,25.0,,0.25,15.75
2005-03-14,42,25.0,,0.25,10.5
2005-03-15,63,25.0,,0.25,15.75
2005-03-16,72,25.0,,0.25,18.0
2005-03-17,63,25.0,,0.25,15.75
2005-03-18,46,25.0,,0.25,11.5
2005-03-19,83,25.0,,0.25,20.75
2005-03-20,59,25.0,,0.25,14.75
2005-03-21,100,25.0,,0.25,25.0
2005-03-22,38,25.0,,0.25,9.5
2005-03-23,87,25.0,,0.25,21.75
2005-03-24,73,25.0,,0.25,18.25
2005-03-25,53,25.0,,0.25,13.25
2005-03-26,68,25.0,,0.25,17.0
2005-03-27,44,25.0,,0.25,11.0
2005-03-28,35,25.0,,0.25,8.75
2005-03-29,69,25.0,,0.25,17.25
2005-03-30,51,25.0,,0.25,12.75
2005-03-31,100,25.0,,0.25,25.0
2005-04-01,63,25.0,False,0.25,15.75
2005-04-02,76,25.0,,0.25,19.0
2005-04-03,46,25.0,,0.25,11.5
2005-04-04,44,25.0,,0.25,11.0
2005-04-05,0,25.0,,0.25,0.0
2005-04-06,92,25.0,,0.25,23.0
2005-04-07,65,25.0,,0.25,16.25
2005-04-08,55,25.0,,0.25,13.75
2005-04-09,51,25.0,,0.25,12.75
2005-04-10,56,25.0,,0.25,14.0
2005-04-11,94,25.0,,0.25,23.5
2005-04-12,50,25.0,,0.25,12.5
2005-04-13,51,25.0,,0.25,12.75
2005-04-14,65,25.0,,0.25,16.25
2005-04-15,53,25.0,,0.25,13.25
2005-04-16,32,25.0,,0.25,8.0
2005-04-17,56,25.0,,0.25,14.0
2005-04-18,63,25.0,,0.25,15.75
2005-04-19,58,25.0,,0.25,14.5
2005-04-20,42,25.0,,0.25,10.5
2005-04-21,59,25.0,,0.25,14.75
2005-04-22,54,25.0,,0.25,13.5
2005-04-23,64,25.0,,0.25,16.0
2005-04-24,51,25.0,,0.25,12.75
2005-04-25,65,25.0,,0.25,16.25
2005-04-26,100,25.0,,0.25,25.0
2005-04-27,41,25.0,,0.25,10.25
2005-04-28,37,25.0,,0.25,9.25
2005-04-29,59,25.0,,0.25,14.75
2005-04-30,34,25.0,,0.25,8.5
2005-05-01,71,27.0,False,0.27,19.17
2005-05-02,55,27.0,,0.27,14.850000000000001
2005-05-03,79,27.0,,0.27,21.330000000000002
2005-05-04,90,27.0,,0.27,24.3
2005-05-05,35,27.0,,0.27,9.450000000000001
2005-05-06,89,27.0,,0.27,24.03
2005-05-07,52,27.0,,0.27,14.040000000000001
2005-05-08,58,27.0,,0.27,15.66
2005-05-09,77,27.0,,0.27,20.790000000000003
2005-05-10,66,27.0,,0.27,17.82
2005-05-11,46,27.0,,0.27,12.420000000000002
2005-05-12,72,27.0,,0.27,19.44
2005-05-13,100,27.0,,0.27,27.0
2005-05-14,63,27.0,,0.27,17.01
2005-05-15,55,27.0,,0.27,14.850000000000001
2005-05-16,78,27.0,,0.27,21.060000000000002
2005-05-17,70,27.0,,0.27,18.900000000000002
2005-05-18,84,27.0,,0.27,22.68
2005-05-19,72,27.0,,0.27,19.44
2005-05-20,90,27.0,,0.27,24.3
2005-05-21,45,27.0,,0.27,12.15
2005-05-22,44,27.0,,0.27,11.88
2005-05-23,60,27.0,,0.27,16.200000000000003
2005-05-24,80,27.0,,0.27,21.6
2005-05-25,57,27.0,,0.27,15.39
2005-05-26,78,27.0,,0.27,21.060000000000002
2005-05-27,53,27.0,,0.27,14.31
2005-05-28,88,27.0,,0.27,23.76
2005-05-29,49,27.0,,0.27,13.23
2005-05-30,53,27.0,,0.27,14.31
2005-05-31,68,27.0,,0.27,18.36
2005-06-01,81,28.0,False,0.28,22.680000000000003
2005-06-02,52,28.0,,0.28,14.560000000000002
2005-06-03,49,28.0,,0.28,13.72
2005-06-04,72,28.0,,0.28,20.160000000000004
2005-06-05,40,28.0,,0.28,11.200000000000001
2005-06-06,79,28.0,,0.28,22.12
2005-06-07,36,28.0,,0.28,10.080000000000002
2005-06-08,68,28.0,,0.28,19.040000000000003
2005-06-09,60,28.0,,0.28,16.8
2005-06-10,54,28.0,,0.28,15.120000000000001
2005-06-11,85,28.0,,0.28,23.8
2005-06-12,69,28.0,,0.28,19.32
2005-06-13,66,28.0,,0.28,18.48
2005-06-14,99,28.0,,0.28,27.720000000000002
2005-06-15,53,28.0,,0.28,14.840000000000002
2005-06-16,41,28.0,,0.28,11.48
2005-06-17,81,28.0,,0.28,22.680000000000003
2005-06-18,53,28.0,,0.28,14.840000000000002
2005-06-19,67,28.0,,0.28,18.76
2005-06-20,60,28.0,,0.28,16.8
2005-06-21,76,28.0,,0.28,21.28
2005-06-22,85,28.0,,0.28,23.8
2005-06-23,65,28.0,,0.28,18.200000000000003
2005-06-24,44,28.0,,0.28,12.32
2005-06-25,100,28.0,,0.28,28.000000000000004
2005-06-26,48,28.0,,0.28,13.440000000000001
2005-06-27,86,28.0,,0.28,24.080000000000002
2005-06-28,72,28.0,,0.28,20.160000000000004
2005-06-29,60,28.0,,0.28,16.8
2005-06-30,51,28.0,,0.28,14.280000000000001
2005-07-01,68,31.0,False,0.31,21.08
2005-07-02,100,31.0,,0.31,31.0
2005-07-03,70,31.0,,0.31,21.7
2005-07-04,74,31.0,,0.31,22.94
2005-07-05,91,31.0,,0.31,28.21
2005-07-06,70,31.0,,0.31,21.7
2005-07-07,58,31.0,,0.31,17.98
2005-07-08,62,31.0,,0.31,19.22
2005-07-09,58,31.0,,0.31,17.98
2005-07-10,49,31.0,,0.31,15.19
2005-07-11,54,31.0,,0.31,16.74
2005-07-12,59,31.0,,0.31,18.29
