date,savings accounts_unscaled,savings accounts_monthly,isPartial,scale,savings accounts
2005-01-01,0,88.0,False,0.88,0.0
2005-01-02,39,88.0,,0.88,34.32
2005-01-03,58,88.0,,0.88,51.04
2005-01-04,33,88.0,,0.88,29.04
2005-01-05,22,88.0,,0.88,19.36
2005-01-06,44,88.0,,0.88,38.72
2005-01-07,35,88.0,,0.88,30.8
2005-01-08,72,88.0,,0.88,63.36
2005-01-09,72,88.0,,0.88,63.36
2005-01-10,32,88.0,,0.88,28.16
2005-01-11,84,88.0,,0.88,73.92
2005-01-12,53,88.0,,0.88,46.64
2005-01-13,44,88.0,,0.88,38.72
2005-01-14,22,88.0,,0.88,19.36
2005-01-15,54,88.0,,0.88,47.52
2005-01-16,37,88.0,,0.88,32.56
2005-01-17,25,88.0,,0.88,22.0
2005-01-18,21,88.0,,0.88,18.48
2005-01-19,65,88.0,,0.88,57.2
2005-01-20,44,88.0,,0.88,38.72
2005-01-21,90,88.0,,0.88,79.2
2005-01-22,34,88.0,,0.88,29.92
2005-01-23,0,88.0,,0.88,0.0
2005-01-24,42,88.0,,0.88,36.96
2005-01-25,31,88.0,,0.88,27.28
2005-01-26,84,88.0,,0.88,73.92
2005-01-27,32,88.0,,0.88,28.16
2005-01-28,66,88.0,,0.88,58.08
2005-01-29,34,88.0,,0.88,29.92
2005-01-30,100,88.0,,0.88,88.0
2005-01-31,41,88.0,,0.88,36.08
2005-02-01,45,99.0,False,0.99,44.55
2005-02-02,81,99.0,,0.99,80.19
2005-02-03,70,99.0,,0.99,69.3
2005-02-04,37,99.0,,0.99,36.63
2005-02-05,0,99.0,,0.99,0.0
2005-02-06,0,99.0,,0.99,0.0
2005-02-07,59,99.0,,0.99,58.41
2005-02-08,88,99.0,,0.99,87.12
2005-02-09,23,99.0,,0.99,22.77
2005-02-10,92,99.0,,0.99,91.08
2005-02-11,96,99.0,,0.99,95.03999999999999
2005-02-12,76,99.0,,0.99,75.24
2005-02-13,94,99.0,,0.99,93.06
2005-02-14,68,99.0,,0.99,67.32
2005-02-15,23,99.0,,0.99,22.77
2005-02-16,45,99.0,,0.99,44.55
2005-02-17,23,99.0,,0.99,22.77
2005-02-18,36,99.0,,0.99,35.64
2005-02-19,0,99.0,,0.99,0.0
2005-02-20,77,99.0,,0.99,76.23
2005-02-21,38,99.0,,0.99,37.62
2005-02-22,44,99.0,,0.99,43.56
2005-02-23,88,99.0,,0.99,87.12
2005-02-24,67,99.0,,0.99,66.33
2005-02-25,83,99.0,,0.99,82.17
2005-02-26,100,99.0,,0.99,99.0
2005-02-27,0,99.0,,0.99,0.0
2005-02-28,66,99.0,,0.99,65.34
2005-03-01,23,92.0,False,0.92,21.16
2005-03-02,0,92.0,,0.92,0.0
2005-03-03,38,92.0,,0.92,34.96
2005-03-04,26,92.0,,0.92,23.92
2005-03-05,0,92.0,,0.92,0.0
2005-03-06,40,92.0,,0.92,36.800000000000004
2005-03-07,71,92.0,,0.92,65.32000000000001
2005-03-08,68,92.0,,0.92,62.56
