date,savings bonds_unscaled,savings bonds_monthly,isPartial,scale,savings bonds
2005-01-01,19,99.0,False,0.99,18.81
2005-01-02,34,99.0,,0.99,33.66
2005-01-03,47,99.0,,0.99,46.53
2005-01-04,83,99.0,,0.99,82.17
2005-01-05,65,99.0,,0.99,64.35
2005-01-06,65,99.0,,0.99,64.35
2005-01-07,61,99.0,,0.99,60.39
2005-01-08,84,99.0,,0.99,83.16
2005-01-09,74,99.0,,0.99,73.26
2005-01-10,90,99.0,,0.99,89.1
2005-01-11,43,99.0,,0.99,42.57
2005-01-12,75,99.0,,0.99,74.25
2005-01-13,25,99.0,,0.99,24.75
2005-01-14,60,99.0,,0.99,59.4
2005-01-15,21,99.0,,0.99,20.79
2005-01-16,43,99.0,,0.99,42.57
2005-01-17,66,99.0,,0.99,65.34
2005-01-18,37,99.0,,0.99,36.63
2005-01-19,45,99.0,,0.99,44.55
2005-01-20,32,99.0,,0.99,31.68
2005-01-21,33,99.0,,0.99,32.67
2005-01-22,100,99.0,,0.99,99.0
2005-01-23,39,99.0,,0.99,38.61
2005-01-24,43,99.0,,0.99,42.57
2005-01-25,54,99.0,,0.99,53.46
2005-01-26,37,99.0,,0.99,36.63
2005-01-27,25,99.0,,0.99,24.75
2005-01-28,64,99.0,,0.99,63.36
2005-01-29,70,99.0,,0.99,69.3
2005-01-30,30,99.0,,0.99,29.7
2005-01-31,55,99.0,,0.99,54.45
2005-02-01,37,84.0,False,0.84,31.08
2005-02-02,92,84.0,,0.84,77.28
2005-02-03,31,84.0,,0.84,26.04
2005-02-04,40,84.0,,0.84,33.6
2005-02-05,77,84.0,,0.84,64.67999999999999
2005-02-06,51,84.0,,0.84,42.839999999999996
2005-02-07,47,84.0,,0.84,39.48
2005-02-08,65,84.0,,0.84,54.6
2005-02-09,82,84.0,,0.84,68.88
2005-02-10,52,84.0,,0.84,43.68
2005-02-11,63,84.0,,0.84,52.919999999999995
2005-02-12,100,84.0,,0.84,84.0
2005-02-13,74,84.0,,0.84,62.16
2005-02-14,60,84.0,,0.84,50.4
2005-02-15,60,84.0,,0.84,50.4
2005-02-16,37,84.0,,0.84,31.08
2005-02-17,37,84.0,,0.84,31.08
2005-02-18,39,84.0,,0.84,32.76
2005-02-19,62,84.0,,0.84,52.08
2005-02-20,38,84.0,,0.84,31.919999999999998
2005-02-21,41,84.0,,0.84,34.44
2005-02-22,51,84.0,,0.84,42.839999999999996
2005-02-23,43,84.0,,0.84,36.12
2005-02-24,22,84.0,,0.84,18.48
2005-02-25,55,84.0,,0.84,46.199999999999996
2005-02-26,66,84.0,,0.84,55.44
2005-02-27,90,84.0,,0.84,75.6
2005-02-28,43,84.0,,0.84,36.12
2005-03-01,58,76.0,False,0.76,44.08
2005-03-02,42,76.0,,0.76,31.92
2005-03-03,38,76.0,,0.76,28.88
2005-03-04,39,76.0,,0.76,29.64
2005-03-05,100,76.0,,0.76,76.0
2005-03-06,69,76.0,,0.76,52.44
2005-03-07,47,76.0,,0.76,35.72
2005-03-08,45,76.0,,0.76,34.2
2005-03-09,29,76.0,,0.76,22.04
2005-03-10,42,76.0,,0.76,31.92
2005-03-11,38,76.0,,0.76,28.88
2005-03-12,58,76.0,,0.76,44.08
2005-03-13,39,76.0,,0.76,29.64
2005-03-14,41,76.0,,0.76,31.16
2005-03-15,46,76.0,,0.76,34.96
2005-03-16,58,76.0,,0.76,44.08
2005-03-17,29,76.0,,0.76,22.04
2005-03-18,45,76.0,,0.76,34.2
2005-03-19,49,76.0,,0.76,37.24
2005-03-20,41,76.0,,0.76,31.16
2005-03-21,54,76.0,,0.76,41.04
2005-03-22,52,76.0,,0.76,39.52
2005-03-23,30,76.0,,0.76,22.8
2005-03-24,50,76.0,,0.76,38.0
2005-03-25,37,76.0,,0.76,28.12
2005-03-26,63,76.0,,0.76,47.88
2005-03-27,34,76.0,,0.76,25.84
2005-03-28,70,76.0,,0.76,53.2
2005-03-29,24,76.0,,0.76,18.240000000000002
2005-03-30,55,76.0,,0.76,41.8
2005-03-31,19,76.0,,0.76,14.44
2005-04-01,66,89.0,False,0.89,58.74
2005-04-02,100,89.0,,0.89,89.0
2005-04-03,44,89.0,,0.89,39.160000000000004
2005-04-04,0,89.0,,0.89,0.0
2005-04-05,0,89.0,,0.89,0.0
2005-04-06,22,89.0,,0.89,19.580000000000002
2005-04-07,39,89.0,,0.89,34.71
2005-04-08,48,89.0,,0.89,42.72
2005-04-09,68,89.0,,0.89,60.52
2005-04-10,39,89.0,,0.89,34.71
2005-04-11,48,89.0,,0.89,42.72
2005-04-12,25,89.0,,0.89,22.25
2005-04-13,32,89.0,,0.89,28.48
2005-04-14,44,89.0,,0.89,39.160000000000004
2005-04-15,24,89.0,,0.89,21.36
2005-04-16,48,89.0,,0.89,42.72
2005-04-17,67,89.0,,0.89,59.63
2005-04-18,81,89.0,,0.89,72.09
2005-04-19,42,89.0,,0.89,37.38
2005-04-20,37,89.0,,0.89,32.93
2005-04-21,6,89.0,,0.89,5.34
2005-04-22,35,89.0,,0.89,31.150000000000002
2005-04-23,36,89.0,,0.89,32.04
2005-04-24,18,89.0,,0.89,16.02
2005-04-25,52,89.0,,0.89,46.28
2005-04-26,67,89.0,,0.89,59.63
2005-04-27,26,89.0,,0.89,23.14
2005-04-28,26,89.0,,0.89,23.14
2005-04-29,83,89.0,,0.89,73.87
2005-04-30,26,89.0,,0.89,23.14
2005-05-01,100,78.0,False,0.78,78.0
2005-05-02,94,78.0,,0.78,73.32000000000001
