date,low cost_unscaled,low cost_monthly,isPartial,scale,low cost
2005-01-01,91,91,False,0.91,82.81
2005-01-02,54,54,False,0.54,29.160000000000004
2005-01-03,56,56,False,0.56,31.360000000000003
2005-01-04,83,83,False,0.83,68.89
2005-01-05,69,69,False,0.69,47.61
2005-01-06,46,46,False,0.46,21.16
2005-01-07,79,79,False,0.79,62.410000000000004
2005-01-08,62,62,False,0.62,38.44
2005-01-09,100,100,False,1.0,100.0
2005-01-10,68,68,False,0.68,46.24
2005-01-11,44,44,False,0.44,19.36
2005-01-12,59,59,False,0.59,34.809999999999995
2005-01-13,53,53,False,0.53,28.09
2005-01-14,54,54,False,0.54,29.160000000000004
2005-01-15,0,0,False,0.0,0.0
2005-01-16,90,90,False,0.9,81.0
2005-01-17,69,69,False,0.69,47.61
2005-01-18,30,30,False,0.3,9.0
2005-01-19,67,67,False,0.67,44.89
2005-01-20,23,23,False,0.23,5.29
2005-01-21,54,54,False,0.54,29.160000000000004
2005-01-22,47,47,False,0.47,22.09
2005-01-23,46,46,False,0.46,21.16
2005-01-24,15,15,False,0.15,2.25
2005-01-25,49,49,False,0.49,24.009999999999998
2005-01-26,51,51,False,0.51,26.01
2005-01-27,22,22,False,0.22,4.84
2005-01-28,15,15,False,0.15,2.25
2005-01-29,0,0,False,0.0,0.0
2005-01-30,58,58,False,0.58,33.64
2005-01-31,36,36,False,0.36,12.959999999999999
2005-02-01,86,86,False,0.86,73.96
2005-02-02,47,47,False,0.47,22.09
2005-02-03,47,47,False,0.47,22.09
2005-02-04,39,39,False,0.39,15.21
2005-02-05,39,39,False,0.39,15.21
2005-02-06,31,31,False,0.31,9.61
2005-02-07,66,66,False,0.66,43.56
2005-02-08,31,31,False,0.31,9.61
2005-02-09,50,50,False,0.5,25.0
2005-02-10,37,37,False,0.37,13.69
2005-02-11,58,58,False,0.58,33.64
2005-02-12,30,30,False,0.3,9.0
2005-02-13,75,75,False,0.75,56.25
2005-02-14,64,64,False,0.64,40.96
2005-02-15,77,77,False,0.77,59.29
2005-02-16,59,59,False,0.59,34.809999999999995
2005-02-17,55,55,False,0.55,30.250000000000004
2005-02-18,44,44,False,0.44,19.36
2005-02-19,53,53,False,0.53,28.09
2005-02-20,62,62,False,0.62,38.44
2005-02-21,41,41,False,0.41,16.81
2005-02-22,49,49,False,0.49,24.009999999999998
2005-02-23,62,62,False,0.62,38.44
2005-02-24,49,49,False,0.49,24.009999999999998
2005-02-25,43,43,False,0.43,18.49
2005-02-26,100,100,False,1.0,100.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,35,35,False,0.35,12.25
2005-03-01,70,70,False,0.7,49.0
2005-03-02,67,67,False,0.67,44.89
2005-03-03,82,82,False,0.82,67.24
2005-03-04,57,57,False,0.57,32.489999999999995
2005-03-05,57,57,False,0.57,32.489999999999995
2005-03-06,32,32,False,0.32,10.24
2005-03-07,62,62,False,0.62,38.44
2005-03-08,51,51,False,0.51,26.01
2005-03-09,62,62,False,0.62,38.44
2005-03-10,49,49,False,0.49,24.009999999999998
2005-03-11,51,51,False,0.51,26.01
2005-03-12,32,32,False,0.32,10.24
2005-03-13,79,79,False,0.79,62.410000000000004
2005-03-14,28,28,False,0.28,7.840000000000001
2005-03-15,65,65,False,0.65,42.25
2005-03-16,47,47,False,0.47,22.09
2005-03-17,67,67,False,0.67,44.89
2005-03-18,37,37,False,0.37,13.69
2005-03-19,64,64,False,0.64,40.96
2005-03-20,90,90,False,0.9,81.0
2005-03-21,48,48,False,0.48,23.04
2005-03-22,81,81,False,0.81,65.61
2005-03-23,100,100,False,1.0,100.0
2005-03-24,61,61,False,0.61,37.21
2005-03-25,54,54,False,0.54,29.160000000000004
2005-03-26,84,84,False,0.84,70.56
2005-03-27,61,61,False,0.61,37.21
2005-03-28,76,76,False,0.76,57.76
2005-03-29,72,72,False,0.72,51.839999999999996
2005-03-30,59,59,False,0.59,34.809999999999995
2005-03-31,65,65,False,0.65,42.25
2005-04-01,9,9,False,0.09,0.8099999999999999
2005-04-02,78,78,False,0.78,60.84
2005-04-03,64,64,False,0.64,40.96
2005-04-04,97,97,False,0.97,94.09
2005-04-05,0,0,True,0.0,0.0
2005-04-06,21,21,False,0.21,4.41
2005-04-07,39,39,False,0.39,15.21
2005-04-08,26,26,False,0.26,6.76
2005-04-09,56,56,False,0.56,31.360000000000003
2005-04-10,42,42,False,0.42,17.64
2005-04-11,62,62,False,0.62,38.44
2005-04-12,44,44,False,0.44,19.36
2005-04-13,53,53,False,0.53,28.09
2005-04-14,47,47,False,0.47,22.09
2005-04-15,17,17,False,0.17,2.89
2005-04-16,84,84,False,0.84,70.56
2005-04-17,28,28,False,0.28,7.840000000000001
2005-04-18,23,23,False,0.23,5.29
2005-04-19,46,46,False,0.46,21.16
2005-04-20,100,100,False,1.0,100.0
2005-04-21,65,65,False,0.65,42.25
2005-04-22,25,25,False,0.25,6.25
2005-04-23,38,38,False,0.38,14.44
2005-04-24,25,25,False,0.25,6.25
2005-04-25,67,67,False,0.67,44.89
2005-04-26,45,45,False,0.45,20.25
2005-04-27,45,45,False,0.45,20.25
2005-04-28,37,37,False,0.37,13.69
2005-04-29,40,40,False,0.4,16.0
2005-04-30,62,62,False,0.62,38.44
2005-05-01,28,28,False,0.28,7.840000000000001
2005-05-02,66,66,False,0.66,43.56
2005-05-03,32,32,False,0.32,10.24
2005-05-04,41,41,False,0.41,16.81
2005-05-05,59,59,False,0.59,34.809999999999995
2005-05-06,55,55,False,0.55,30.250000000000004
2005-05-07,46,46,False,0.46,21.16
2005-05-08,61,61,False,0.61,37.21
2005-05-09,33,33,False,0.33,10.89
2005-05-10,40,40,False,0.4,16.0
2005-05-11,17,17,False,0.17,2.89
2005-05-12,25,25,False,0.25,6.25
2005-05-13,63,63,False,0.63,39.69
2005-05-14,89,89,False,0.89,79.21000000000001
2005-05-15,72,72,False,0.72,51.839999999999996
2005-05-16,83,83,False,0.83,68.89
2005-05-17,25,25,False,0.25,6.25
2005-05-18,84,84,False,0.84,70.56
2005-05-19,60,60,False,0.6,36.0
2005-05-20,74,74,False,0.74,54.76
2005-05-21,0,0,False,0.0,0.0
2005-05-22,74,74,False,0.74,54.76
2005-05-23,34,34,False,0.34,11.56
2005-05-24,57,57,False,0.57,32.489999999999995
2005-05-25,50,50,False,0.5,25.0
2005-05-26,61,61,False,0.61,37.21
2005-05-27,10,10,False,0.1,1.0
2005-05-28,64,64,False,0.64,40.96
2005-05-29,100,100,False,1.0,100.0
2005-05-30,98,98,False,0.98,96.03999999999999
2005-05-31,68,68,False,0.68,46.24
2005-06-01,38,38,False,0.38,14.44
2005-06-02,100,100,False,1.0,100.0
2005-06-03,41,41,False,0.41,16.81
2005-06-04,78,78,False,0.78,60.84
2005-06-05,27,27,False,0.27,7.290000000000001
2005-06-06,77,77,False,0.77,59.29
2005-06-07,46,46,False,0.46,21.16
2005-06-08,84,84,False,0.84,70.56
2005-06-09,47,47,False,0.47,22.09
2005-06-10,59,59,False,0.59,34.809999999999995
2005-06-11,52,52,False,0.52,27.04
2005-06-12,54,54,False,0.54,29.160000000000004
2005-06-13,70,70,False,0.7,49.0
2005-06-14,53,53,False,0.53,28.09
2005-06-15,31,31,False,0.31,9.61
2005-06-16,32,32,False,0.32,10.24
2005-06-17,60,60,False,0.6,36.0
2005-06-18,69,69,False,0.69,47.61
2005-06-19,14,14,False,0.14,1.9600000000000002
2005-06-20,70,70,False,0.7,49.0
2005-06-21,23,23,False,0.23,5.29
2005-06-22,63,63,False,0.63,39.69
2005-06-23,65,65,False,0.65,42.25
2005-06-24,78,78,False,0.78,60.84
2005-06-25,14,14,False,0.14,1.9600000000000002
2005-06-26,98,98,False,0.98,96.03999999999999
2005-06-27,54,54,False,0.54,29.160000000000004
2005-06-28,38,38,False,0.38,14.44
2005-06-29,54,54,False,0.54,29.160000000000004
2005-06-30,48,48,False,0.48,23.04
2005-07-01,88,88,False,0.88,77.44
2005-07-02,35,35,False,0.35,12.25
2005-07-03,55,55,False,0.55,30.250000000000004
2005-07-04,81,81,False,0.81,65.61
2005-07-05,100,100,False,1.0,100.0
2005-07-06,63,63,False,0.63,39.69
2005-07-07,47,47,False,0.47,22.09
2005-07-08,88,88,False,0.88,77.44
2005-07-09,31,31,False,0.31,9.61
2005-07-10,79,79,False,0.79,62.410000000000004
2005-07-11,64,64,False,0.64,40.96
2005-07-12,36,36,False,0.36,12.959999999999999
2005-07-13,73,73,False,0.73,53.29
2005-07-14,38,38,False,0.38,14.44
2005-07-15,50,50,False,0.5,25.0
2005-07-16,78,78,False,0.78,60.84
2005-07-17,0,0,False,0.0,0.0
2005-07-18,45,45,False,0.45,20.25
2005-07-19,80,80,False,0.8,64.0
2005-07-20,82,82,False,0.82,67.24
2005-07-21,67,67,False,0.67,44.89
2005-07-22,70,70,False,0.7,49.0
2005-07-23,46,46,False,0.46,21.16
2005-07-24,63,63,False,0.63,39.69
2005-07-25,45,45,False,0.45,20.25
2005-07-26,35,35,False,0.35,12.25
2005-07-27,28,28,False,0.28,7.840000000000001
2005-07-28,38,38,False,0.38,14.44
2005-07-29,100,100,False,1.0,100.0
2005-07-30,15,15,False,0.15,2.25
2005-07-31,94,94,False,0.94,88.36
2005-08-01,73,73,False,0.73,53.29
2005-08-02,35,35,False,0.35,12.25
2005-08-03,62,62,False,0.62,38.44
2005-08-04,73,73,False,0.73,53.29
2005-08-05,58,58,False,0.58,33.64
2005-08-06,30,30,False,0.3,9.0
2005-08-07,45,45,False,0.45,20.25
2005-08-08,87,87,False,0.87,75.69
2005-08-09,43,43,False,0.43,18.49
2005-08-10,52,52,False,0.52,27.04
2005-08-11,27,27,False,0.27,7.290000000000001
2005-08-12,38,38,False,0.38,14.44
2005-08-13,87,87,False,0.87,75.69
2005-08-14,44,44,False,0.44,19.36
2005-08-15,44,44,False,0.44,19.36
2005-08-16,69,69,False,0.69,47.61
2005-08-17,62,62,False,0.62,38.44
2005-08-18,54,54,False,0.54,29.160000000000004
2005-08-19,84,84,False,0.84,70.56
2005-08-20,42,42,False,0.42,17.64
2005-08-21,100,100,False,1.0,100.0
2005-08-22,77,77,False,0.77,59.29
2005-08-23,85,85,False,0.85,72.25
2005-08-24,36,36,False,0.36,12.959999999999999
2005-08-25,23,23,False,0.23,5.29
2005-08-26,36,36,False,0.36,12.959999999999999
2005-08-27,41,41,False,0.41,16.81
2005-08-28,68,68,False,0.68,46.24
2005-08-29,41,41,False,0.41,16.81
2005-08-30,65,65,False,0.65,42.25
2005-08-31,41,41,False,0.41,16.81
2005-09-01,44,44,False,0.44,19.36
2005-09-02,96,96,False,0.96,92.16
2005-09-03,58,58,False,0.58,33.64
2005-09-04,60,60,False,0.6,36.0
2005-09-05,76,76,False,0.76,57.76
2005-09-06,42,42,False,0.42,17.64
2005-09-07,41,41,False,0.41,16.81
2005-09-08,50,50,False,0.5,25.0
2005-09-09,53,53,False,0.53,28.09
2005-09-10,40,40,False,0.4,16.0
2005-09-11,65,65,False,0.65,42.25
2005-09-12,48,48,False,0.48,23.04
2005-09-13,55,55,False,0.55,30.250000000000004
2005-09-14,47,47,False,0.47,22.09
2005-09-15,57,57,False,0.57,32.489999999999995
2005-09-16,26,26,False,0.26,6.76
2005-09-17,66,66,False,0.66,43.56
2005-09-18,39,39,False,0.39,15.21
2005-09-19,55,55,False,0.55,30.250000000000004
2005-09-20,77,77,False,0.77,59.29
2005-09-21,78,78,False,0.78,60.84
2005-09-22,40,40,False,0.4,16.0
2005-09-23,60,60,False,0.6,36.0
2005-09-24,53,53,False,0.53,28.09
2005-09-25,51,51,False,0.51,26.01
2005-09-26,23,23,False,0.23,5.29
2005-09-27,100,100,False,1.0,100.0
2005-09-28,47,47,False,0.47,22.09
2005-09-29,64,64,False,0.64,40.96
2005-09-30,87,87,False,0.87,75.69
2005-10-01,36,36,False,0.36,12.959999999999999
2005-10-02,34,34,False,0.34,11.56
2005-10-03,41,41,False,0.41,16.81
2005-10-04,71,71,False,0.71,50.41
2005-10-05,61,61,False,0.61,37.21
2005-10-06,73,73,False,0.73,53.29
2005-10-07,33,33,False,0.33,10.89
2005-10-08,34,34,False,0.34,11.56
