date,synonym compensate_unscaled,synonym compensate_monthly,isPartial,scale,synonym compensate
2007-02-01,0,22.0,False,0.22,0.0
2007-02-02,0,22.0,,0.22,0.0
2007-02-03,0,22.0,,0.22,0.0
2007-02-04,0,22.0,,0.22,0.0
2007-02-05,0,22.0,,0.22,0.0
2007-02-06,0,22.0,,0.22,0.0
2007-02-07,0,22.0,,0.22,0.0
2007-02-08,0,22.0,,0.22,0.0
2007-02-09,0,22.0,,0.22,0.0
2007-02-10,0,22.0,,0.22,0.0
2007-02-11,0,22.0,,0.22,0.0
2007-02-12,0,22.0,,0.22,0.0
2007-02-13,0,22.0,,0.22,0.0
2007-02-14,0,22.0,,0.22,0.0
2007-02-15,0,22.0,,0.22,0.0
2007-02-16,0,22.0,,0.22,0.0
2007-02-17,0,22.0,,0.22,0.0
2007-02-18,0,22.0,,0.22,0.0
2007-02-19,0,22.0,,0.22,0.0
2007-02-20,0,22.0,,0.22,0.0
2007-02-21,100,22.0,,0.22,22.0
2007-02-22,0,22.0,,0.22,0.0
2007-02-23,0,22.0,,0.22,0.0
2007-02-24,0,22.0,,0.22,0.0
2007-02-25,0,22.0,,0.22,0.0
2007-02-26,0,22.0,,0.22,0.0
2007-02-27,0,22.0,,0.22,0.0
2007-02-28,0,22.0,,0.22,0.0
2007-10-01,0,16.0,False,0.16,0.0
2007-10-02,0,16.0,,0.16,0.0
2007-10-03,0,16.0,,0.16,0.0
2007-10-04,0,16.0,,0.16,0.0
2007-10-05,0,16.0,,0.16,0.0
2007-10-06,0,16.0,,0.16,0.0
2007-10-07,0,16.0,,0.16,0.0
2007-10-08,0,16.0,,0.16,0.0
2007-10-09,0,16.0,,0.16,0.0
2007-10-10,0,16.0,,0.16,0.0
2007-10-11,0,16.0,,0.16,0.0
2007-10-12,0,16.0,,0.16,0.0
2007-10-13,0,16.0,,0.16,0.0
2007-10-14,0,16.0,,0.16,0.0
2007-10-15,100,16.0,,0.16,16.0
2007-10-16,0,16.0,,0.16,0.0
2007-10-17,0,16.0,,0.16,0.0
2007-10-18,0,16.0,,0.16,0.0
2007-10-19,0,16.0,,0.16,0.0
2007-10-20,0,16.0,,0.16,0.0
2007-10-21,0,16.0,,0.16,0.0
2007-10-22,0,16.0,,0.16,0.0
2007-10-23,0,16.0,,0.16,0.0
2007-10-24,0,16.0,,0.16,0.0
2007-10-25,0,16.0,,0.16,0.0
2007-10-26,0,16.0,,0.16,0.0
2007-10-27,0,16.0,,0.16,0.0
2007-10-28,0,16.0,,0.16,0.0
2007-10-29,0,16.0,,0.16,0.0
2007-10-30,0,16.0,,0.16,0.0
2007-10-31,0,16.0,,0.16,0.0
2007-12-01,0,16.0,False,0.16,0.0
2007-12-02,100,16.0,,0.16,16.0
2007-12-03,0,16.0,,0.16,0.0
2007-12-04,0,16.0,,0.16,0.0
2007-12-05,0,16.0,,0.16,0.0
2007-12-06,0,16.0,,0.16,0.0
2007-12-07,0,16.0,,0.16,0.0
2007-12-08,0,16.0,,0.16,0.0
2007-12-09,0,16.0,,0.16,0.0
2007-12-10,0,16.0,,0.16,0.0
2007-12-11,0,16.0,,0.16,0.0
2007-12-12,0,16.0,,0.16,0.0
2007-12-13,0,16.0,,0.16,0.0
2007-12-14,0,16.0,,0.16,0.0
2007-12-15,0,16.0,,0.16,0.0
2007-12-16,0,16.0,,0.16,0.0
2007-12-17,0,16.0,,0.16,0.0
2007-12-18,0,16.0,,0.16,0.0
2007-12-19,0,16.0,,0.16,0.0
2007-12-20,0,16.0,,0.16,0.0
2007-12-21,0,16.0,,0.16,0.0
2007-12-22,0,16.0,,0.16,0.0
2007-12-23,0,16.0,,0.16,0.0
2007-12-24,0,16.0,,0.16,0.0
2007-12-25,0,16.0,,0.16,0.0
2007-12-26,0,16.0,,0.16,0.0
2007-12-27,0,16.0,,0.16,0.0
2007-12-28,0,16.0,,0.16,0.0
2007-12-29,0,16.0,,0.16,0.0
2007-12-30,0,16.0,,0.16,0.0
2007-12-31,0,16.0,,0.16,0.0
2008-12-01,0,13.0,False,0.13,0.0
2008-12-02,0,13.0,,0.13,0.0
2008-12-03,0,13.0,,0.13,0.0
2008-12-04,0,13.0,,0.13,0.0
2008-12-05,0,13.0,,0.13,0.0
2008-12-06,0,13.0,,0.13,0.0
2008-12-07,0,13.0,,0.13,0.0
2008-12-08,0,13.0,,0.13,0.0
2008-12-09,0,13.0,,0.13,0.0
2008-12-10,0,13.0,,0.13,0.0
2008-12-11,0,13.0,,0.13,0.0
2008-12-12,0,13.0,,0.13,0.0
2008-12-13,0,13.0,,0.13,0.0
2008-12-14,0,13.0,,0.13,0.0
2008-12-15,0,13.0,,0.13,0.0
2008-12-16,0,13.0,,0.13,0.0
2008-12-17,0,13.0,,0.13,0.0
2008-12-18,0,13.0,,0.13,0.0
2008-12-19,0,13.0,,0.13,0.0
2008-12-20,0,13.0,,0.13,0.0
2008-12-21,0,13.0,,0.13,0.0
2008-12-22,0,13.0,,0.13,0.0
2008-12-23,100,13.0,,0.13,13.0
2008-12-24,0,13.0,,0.13,0.0
2008-12-25,0,13.0,,0.13,0.0
2008-12-26,0,13.0,,0.13,0.0
2008-12-27,0,13.0,,0.13,0.0
2008-12-28,0,13.0,,0.13,0.0
2008-12-29,0,13.0,,0.13,0.0
2008-12-30,0,13.0,,0.13,0.0
2008-12-31,0,13.0,,0.13,0.0
2009-04-01,0,0.0,False,0.0,0.0
2009-04-02,0,0.0,,0.0,0.0
2009-04-03,0,0.0,,0.0,0.0
2009-04-04,0,0.0,,0.0,0.0
2009-04-05,0,0.0,,0.0,0.0
2009-04-06,0,0.0,,0.0,0.0
2009-04-07,0,0.0,,0.0,0.0
2009-04-08,0,0.0,,0.0,0.0
2009-04-09,0,0.0,,0.0,0.0
2009-04-10,0,0.0,,0.0,0.0
2009-04-11,0,0.0,,0.0,0.0
2009-04-12,0,0.0,,0.0,0.0
2009-04-13,0,0.0,,0.0,0.0
2009-04-14,0,0.0,,0.0,0.0
2009-04-15,0,0.0,,0.0,0.0
2009-04-16,0,0.0,,0.0,0.0
2009-04-17,0,0.0,,0.0,0.0
2009-04-18,0,0.0,,0.0,0.0
2009-04-19,0,0.0,,0.0,0.0
2009-04-20,0,0.0,,0.0,0.0
2009-04-21,100,0.0,,0.0,0.0
2009-04-22,0,0.0,,0.0,0.0
2009-04-23,0,0.0,,0.0,0.0
2009-04-24,0,0.0,,0.0,0.0
2009-04-25,0,0.0,,0.0,0.0
2009-04-26,0,0.0,,0.0,0.0
2009-04-27,0,0.0,,0.0,0.0
2009-04-28,0,0.0,,0.0,0.0
2009-04-29,0,0.0,,0.0,0.0
2009-04-30,0,0.0,,0.0,0.0
2009-05-01,0,0.0,False,0.0,0.0
2009-05-02,0,0.0,,0.0,0.0
2009-05-03,0,0.0,,0.0,0.0
2009-05-04,100,0.0,,0.0,0.0
2009-05-05,0,0.0,,0.0,0.0
2009-05-06,0,0.0,,0.0,0.0
2009-05-07,0,0.0,,0.0,0.0
2009-05-08,0,0.0,,0.0,0.0
2009-05-09,0,0.0,,0.0,0.0
2009-05-10,0,0.0,,0.0,0.0
2009-05-11,0,0.0,,0.0,0.0
2009-05-12,0,0.0,,0.0,0.0
2009-05-13,0,0.0,,0.0,0.0
2009-05-14,0,0.0,,0.0,0.0
2009-05-15,0,0.0,,0.0,0.0
2009-05-16,0,0.0,,0.0,0.0
2009-05-17,0,0.0,,0.0,0.0
