date,the patron_unscaled,the patron_monthly,isPartial,scale,the patron
2005-01-01,0,62.0,False,0.62,0.0
2005-01-02,57,62.0,,0.62,35.339999999999996
2005-01-03,34,62.0,,0.62,21.08
2005-01-04,32,62.0,,0.62,19.84
2005-01-05,66,62.0,,0.62,40.92
2005-01-06,66,62.0,,0.62,40.92
2005-01-07,0,62.0,,0.62,0.0
2005-01-08,0,62.0,,0.62,0.0
2005-01-09,0,62.0,,0.62,0.0
2005-01-10,0,62.0,,0.62,0.0
2005-01-11,0,62.0,,0.62,0.0
2005-01-12,32,62.0,,0.62,19.84
2005-01-13,32,62.0,,0.62,19.84
2005-01-14,67,62.0,,0.62,41.54
2005-01-15,54,62.0,,0.62,33.48
2005-01-16,0,62.0,,0.62,0.0
2005-01-17,37,62.0,,0.62,22.94
2005-01-18,31,62.0,,0.62,19.22
2005-01-19,0,62.0,,0.62,0.0
2005-01-20,33,62.0,,0.62,20.46
2005-01-21,0,62.0,,0.62,0.0
2005-01-22,0,62.0,,0.62,0.0
2005-01-23,0,62.0,,0.62,0.0
2005-01-24,0,62.0,,0.62,0.0
2005-01-25,31,62.0,,0.62,19.22
2005-01-26,31,62.0,,0.62,19.22
2005-01-27,31,62.0,,0.62,19.22
2005-01-28,0,62.0,,0.62,0.0
2005-01-29,0,62.0,,0.62,0.0
2005-01-30,100,62.0,,0.62,62.0
2005-01-31,31,62.0,,0.62,19.22
2005-02-01,51,45.0,False,0.45,22.95
2005-02-02,0,45.0,,0.45,0.0
2005-02-03,0,45.0,,0.45,0.0
2005-02-04,55,45.0,,0.45,24.75
2005-02-05,89,45.0,,0.45,40.050000000000004
2005-02-06,0,45.0,,0.45,0.0
2005-02-07,0,45.0,,0.45,0.0
2005-02-08,50,45.0,,0.45,22.5
2005-02-09,0,45.0,,0.45,0.0
2005-02-10,0,45.0,,0.45,0.0
2005-02-11,0,45.0,,0.45,0.0
2005-02-12,86,45.0,,0.45,38.7
2005-02-13,85,45.0,,0.45,38.25
2005-02-14,0,45.0,,0.45,0.0
2005-02-15,52,45.0,,0.45,23.400000000000002
2005-02-16,0,45.0,,0.45,0.0
2005-02-17,52,45.0,,0.45,23.400000000000002
2005-02-18,0,45.0,,0.45,0.0
2005-02-19,85,45.0,,0.45,38.25
2005-02-20,0,45.0,,0.45,0.0
2005-02-21,57,45.0,,0.45,25.650000000000002
2005-02-22,0,45.0,,0.45,0.0
2005-02-23,0,45.0,,0.45,0.0
2005-02-24,51,45.0,,0.45,22.95
2005-02-25,54,45.0,,0.45,24.3
2005-02-26,0,45.0,,0.45,0.0
2005-02-27,0,45.0,,0.45,0.0
2005-02-28,100,45.0,,0.45,45.0
2005-03-01,0,60.0,False,0.6,0.0
2005-03-02,0,60.0,,0.6,0.0
2005-03-03,30,60.0,,0.6,18.0
2005-03-04,31,60.0,,0.6,18.599999999999998
2005-03-05,0,60.0,,0.6,0.0
2005-03-06,0,60.0,,0.6,0.0
2005-03-07,0,60.0,,0.6,0.0
2005-03-08,27,60.0,,0.6,16.2
2005-03-09,56,60.0,,0.6,33.6
2005-03-10,0,60.0,,0.6,0.0
2005-03-11,0,60.0,,0.6,0.0
2005-03-12,0,60.0,,0.6,0.0
2005-03-13,0,60.0,,0.6,0.0
2005-03-14,56,60.0,,0.6,33.6
2005-03-15,27,60.0,,0.6,16.2
2005-03-16,28,60.0,,0.6,16.8
2005-03-17,28,60.0,,0.6,16.8
2005-03-18,62,60.0,,0.6,37.199999999999996
2005-03-19,47,60.0,,0.6,28.2
2005-03-20,0,60.0,,0.6,0.0
2005-03-21,0,60.0,,0.6,0.0
2005-03-22,28,60.0,,0.6,16.8
2005-03-23,28,60.0,,0.6,16.8
2005-03-24,30,60.0,,0.6,18.0
2005-03-25,70,60.0,,0.6,42.0
2005-03-26,100,60.0,,0.6,60.0
2005-03-27,0,60.0,,0.6,0.0
2005-03-28,47,60.0,,0.6,28.2
2005-03-29,28,60.0,,0.6,16.8
2005-03-30,29,60.0,,0.6,17.4
2005-03-31,60,60.0,,0.6,36.0
2005-04-01,0,63.0,False,0.63,0.0
2005-04-02,0,63.0,,0.63,0.0
2005-04-03,0,63.0,,0.63,0.0
2005-04-04,100,63.0,,0.63,63.0
2005-04-05,0,63.0,,0.63,0.0
2005-04-06,0,63.0,,0.63,0.0
2005-04-07,24,63.0,,0.63,15.120000000000001
2005-04-08,0,63.0,,0.63,0.0
2005-04-09,0,63.0,,0.63,0.0
2005-04-10,0,63.0,,0.63,0.0
2005-04-11,24,63.0,,0.63,15.120000000000001
2005-04-12,22,63.0,,0.63,13.86
2005-04-13,93,63.0,,0.63,58.59
2005-04-14,0,63.0,,0.63,0.0
2005-04-15,78,63.0,,0.63,49.14
2005-04-16,0,63.0,,0.63,0.0
2005-04-17,0,63.0,,0.63,0.0
2005-04-18,47,63.0,,0.63,29.61
2005-04-19,0,63.0,,0.63,0.0
2005-04-20,47,63.0,,0.63,29.61
2005-04-21,25,63.0,,0.63,15.75
2005-04-22,52,63.0,,0.63,32.76
2005-04-23,79,63.0,,0.63,49.77
2005-04-24,39,63.0,,0.63,24.57
2005-04-25,46,63.0,,0.63,28.98
2005-04-26,23,63.0,,0.63,14.49
2005-04-27,23,63.0,,0.63,14.49
2005-04-28,23,63.0,,0.63,14.49
2005-04-29,24,63.0,,0.63,15.120000000000001
2005-04-30,0,63.0,,0.63,0.0
2005-05-01,44,56.0,False,0.56,24.64
2005-05-02,76,56.0,,0.56,42.56
2005-05-03,49,56.0,,0.56,27.44
2005-05-04,25,56.0,,0.56,14.000000000000002
2005-05-05,26,56.0,,0.56,14.560000000000002
2005-05-06,28,56.0,,0.56,15.680000000000001
2005-05-07,96,56.0,,0.56,53.760000000000005
2005-05-08,0,56.0,,0.56,0.0
2005-05-09,0,56.0,,0.56,0.0
2005-05-10,76,56.0,,0.56,42.56
2005-05-11,0,56.0,,0.56,0.0
2005-05-12,78,56.0,,0.56,43.68000000000001
2005-05-13,0,56.0,,0.56,0.0
2005-05-14,47,56.0,,0.56,26.320000000000004
2005-05-15,0,56.0,,0.56,0.0
2005-05-16,52,56.0,,0.56,29.120000000000005
2005-05-17,0,56.0,,0.56,0.0
2005-05-18,0,56.0,,0.56,0.0
2005-05-19,0,56.0,,0.56,0.0
2005-05-20,28,56.0,,0.56,15.680000000000001
2005-05-21,47,56.0,,0.56,26.320000000000004
2005-05-22,92,56.0,,0.56,51.52
2005-05-23,0,56.0,,0.56,0.0
2005-05-24,0,56.0,,0.56,0.0
2005-05-25,26,56.0,,0.56,14.560000000000002
2005-05-26,0,56.0,,0.56,0.0
2005-05-27,0,56.0,,0.56,0.0
2005-05-28,100,56.0,,0.56,56.00000000000001
2005-05-29,0,56.0,,0.56,0.0
2005-05-30,0,56.0,,0.56,0.0
2005-05-31,0,56.0,,0.56,0.0
2005-06-01,0,50.0,False,0.5,0.0
2005-06-02,0,50.0,,0.5,0.0
2005-06-03,0,50.0,,0.5,0.0
2005-06-04,0,50.0,,0.5,0.0
2005-06-05,32,50.0,,0.5,16.0
2005-06-06,0,50.0,,0.5,0.0
2005-06-07,18,50.0,,0.5,9.0
2005-06-08,0,50.0,,0.5,0.0
2005-06-09,19,50.0,,0.5,9.5
2005-06-10,0,50.0,,0.5,0.0
2005-06-11,32,50.0,,0.5,16.0
2005-06-12,32,50.0,,0.5,16.0
2005-06-13,0,50.0,,0.5,0.0
2005-06-14,0,50.0,,0.5,0.0
2005-06-15,0,50.0,,0.5,0.0
2005-06-16,0,50.0,,0.5,0.0
2005-06-17,0,50.0,,0.5,0.0
2005-06-18,65,50.0,,0.5,32.5
2005-06-19,0,50.0,,0.5,0.0
2005-06-20,0,50.0,,0.5,0.0
2005-06-21,37,50.0,,0.5,18.5
2005-06-22,0,50.0,,0.5,0.0
2005-06-23,0,50.0,,0.5,0.0
2005-06-24,0,50.0,,0.5,0.0
2005-06-25,98,50.0,,0.5,49.0
2005-06-26,100,50.0,,0.5,50.0
2005-06-27,37,50.0,,0.5,18.5
2005-06-28,0,50.0,,0.5,0.0
2005-06-29,18,50.0,,0.5,9.0
2005-06-30,0,50.0,,0.5,0.0
2005-07-01,0,29.0,False,0.29,0.0
2005-07-02,0,29.0,,0.29,0.0
2005-07-03,0,29.0,,0.29,0.0
2005-07-04,0,29.0,,0.29,0.0
2005-07-05,0,29.0,,0.29,0.0
2005-07-06,0,29.0,,0.29,0.0
2005-07-07,0,29.0,,0.29,0.0
2005-07-08,0,29.0,,0.29,0.0
2005-07-09,0,29.0,,0.29,0.0
2005-07-10,0,29.0,,0.29,0.0
2005-07-11,30,29.0,,0.29,8.7
2005-07-12,0,29.0,,0.29,0.0
2005-07-13,29,29.0,,0.29,8.41
2005-07-14,0,29.0,,0.29,0.0
2005-07-15,0,29.0,,0.29,0.0
2005-07-16,100,29.0,,0.29,28.999999999999996
2005-07-17,0,29.0,,0.29,0.0
2005-07-18,29,29.0,,0.29,8.41
2005-07-19,0,29.0,,0.29,0.0
2005-07-20,29,29.0,,0.29,8.41
