date,the profit_unscaled,the profit_monthly,isPartial,scale,the profit
2005-01-01,100,25.0,False,0.25,25.0
2005-01-02,0,25.0,,0.25,0.0
2005-01-03,0,25.0,,0.25,0.0
2005-01-04,11,25.0,,0.25,2.75
2005-01-05,11,25.0,,0.25,2.75
2005-01-06,11,25.0,,0.25,2.75
2005-01-07,12,25.0,,0.25,3.0
2005-01-08,0,25.0,,0.25,0.0
2005-01-09,0,25.0,,0.25,0.0
2005-01-10,33,25.0,,0.25,8.25
2005-01-11,11,25.0,,0.25,2.75
2005-01-12,11,25.0,,0.25,2.75
2005-01-13,0,25.0,,0.25,0.0
2005-01-14,0,25.0,,0.25,0.0
2005-01-15,0,25.0,,0.25,0.0
2005-01-16,0,25.0,,0.25,0.0
2005-01-17,19,25.0,,0.25,4.75
2005-01-18,11,25.0,,0.25,2.75
2005-01-19,11,25.0,,0.25,2.75
2005-01-20,11,25.0,,0.25,2.75
2005-01-21,23,25.0,,0.25,5.75
2005-01-22,17,25.0,,0.25,4.25
2005-01-23,34,25.0,,0.25,8.5
2005-01-24,11,25.0,,0.25,2.75
2005-01-25,16,25.0,,0.25,4.0
2005-01-26,11,25.0,,0.25,2.75
2005-01-27,11,25.0,,0.25,2.75
2005-01-28,11,25.0,,0.25,2.75
2005-01-29,0,25.0,,0.25,0.0
2005-01-30,17,25.0,,0.25,4.25
2005-01-31,11,25.0,,0.25,2.75
2005-02-01,30,25.0,False,0.25,7.5
2005-02-02,41,25.0,,0.25,10.25
2005-02-03,41,25.0,,0.25,10.25
2005-02-04,32,25.0,,0.25,8.0
2005-02-05,68,25.0,,0.25,17.0
2005-02-06,0,25.0,,0.25,0.0
2005-02-07,31,25.0,,0.25,7.75
2005-02-08,59,25.0,,0.25,14.75
2005-02-09,40,25.0,,0.25,10.0
2005-02-10,20,25.0,,0.25,5.0
2005-02-11,63,25.0,,0.25,15.75
2005-02-12,33,25.0,,0.25,8.25
2005-02-13,100,25.0,,0.25,25.0
2005-02-14,0,25.0,,0.25,0.0
2005-02-15,30,25.0,,0.25,7.5
2005-02-16,30,25.0,,0.25,7.5
2005-02-17,40,25.0,,0.25,10.0
2005-02-18,21,25.0,,0.25,5.25
2005-02-19,33,25.0,,0.25,8.25
2005-02-20,0,25.0,,0.25,0.0
2005-02-21,22,25.0,,0.25,5.5
2005-02-22,68,25.0,,0.25,17.0
2005-02-23,49,25.0,,0.25,12.25
2005-02-24,0,25.0,,0.25,0.0
2005-02-25,42,25.0,,0.25,10.5
2005-02-26,0,25.0,,0.25,0.0
2005-02-27,73,25.0,,0.25,18.25
2005-02-28,29,25.0,,0.25,7.25
2005-03-01,26,29.0,False,0.29,7.539999999999999
2005-03-02,53,29.0,,0.29,15.37
2005-03-03,84,29.0,,0.29,24.36
2005-03-04,28,29.0,,0.29,8.12
2005-03-05,0,29.0,,0.29,0.0
2005-03-06,44,29.0,,0.29,12.76
2005-03-07,0,29.0,,0.29,0.0
2005-03-08,100,29.0,,0.29,28.999999999999996
2005-03-09,39,29.0,,0.29,11.309999999999999
2005-03-10,53,29.0,,0.29,15.37
2005-03-11,28,29.0,,0.29,8.12
2005-03-12,43,29.0,,0.29,12.469999999999999
2005-03-13,0,29.0,,0.29,0.0
2005-03-14,65,29.0,,0.29,18.849999999999998
2005-03-15,38,29.0,,0.29,11.02
2005-03-16,65,29.0,,0.29,18.849999999999998
2005-03-17,53,29.0,,0.29,15.37
2005-03-18,29,29.0,,0.29,8.41
2005-03-19,65,29.0,,0.29,18.849999999999998
2005-03-20,44,29.0,,0.29,12.76
2005-03-21,27,29.0,,0.29,7.829999999999999
2005-03-22,52,29.0,,0.29,15.079999999999998
2005-03-23,26,29.0,,0.29,7.539999999999999
2005-03-24,28,29.0,,0.29,8.12
2005-03-25,49,29.0,,0.29,14.209999999999999
2005-03-26,46,29.0,,0.29,13.34
2005-03-27,0,29.0,,0.29,0.0
2005-03-28,55,29.0,,0.29,15.95
2005-03-29,0,29.0,,0.29,0.0
2005-03-30,54,29.0,,0.29,15.659999999999998
2005-03-31,27,29.0,,0.29,7.829999999999999
2005-04-01,39,25.0,False,0.25,9.75
2005-04-02,58,25.0,,0.25,14.5
2005-04-03,57,25.0,,0.25,14.25
2005-04-04,0,25.0,,0.25,0.0
2005-04-05,0,25.0,,0.25,0.0
2005-04-06,47,25.0,,0.25,11.75
2005-04-07,36,25.0,,0.25,9.0
2005-04-08,58,25.0,,0.25,14.5
2005-04-09,62,25.0,,0.25,15.5
2005-04-10,0,25.0,,0.25,0.0
2005-04-11,52,25.0,,0.25,13.0
2005-04-12,49,25.0,,0.25,12.25
2005-04-13,34,25.0,,0.25,8.5
