date,value_unscaled,value_monthly,isPartial,scale,value
2005-01-01,73,70.0,False,0.7,51.099999999999994
2005-01-02,68,70.0,,0.7,47.599999999999994
2005-01-03,74,70.0,,0.7,51.8
2005-01-04,78,70.0,,0.7,54.599999999999994
2005-01-05,72,70.0,,0.7,50.4
2005-01-06,87,70.0,,0.7,60.9
2005-01-07,89,70.0,,0.7,62.3
2005-01-08,79,70.0,,0.7,55.3
2005-01-09,74,70.0,,0.7,51.8
2005-01-10,86,70.0,,0.7,60.199999999999996
2005-01-11,75,70.0,,0.7,52.5
2005-01-12,80,70.0,,0.7,56.0
2005-01-13,80,70.0,,0.7,56.0
2005-01-14,73,70.0,,0.7,51.099999999999994
2005-01-15,74,70.0,,0.7,51.8
2005-01-16,94,70.0,,0.7,65.8
2005-01-17,86,70.0,,0.7,60.199999999999996
2005-01-18,88,70.0,,0.7,61.599999999999994
2005-01-19,88,70.0,,0.7,61.599999999999994
2005-01-20,78,70.0,,0.7,54.599999999999994
2005-01-21,82,70.0,,0.7,57.4
2005-01-22,86,70.0,,0.7,60.199999999999996
2005-01-23,72,70.0,,0.7,50.4
2005-01-24,77,70.0,,0.7,53.9
2005-01-25,88,70.0,,0.7,61.599999999999994
2005-01-26,87,70.0,,0.7,60.9
2005-01-27,100,70.0,,0.7,70.0
2005-01-28,86,70.0,,0.7,60.199999999999996
2005-01-29,79,70.0,,0.7,55.3
2005-01-30,100,70.0,,0.7,70.0
2005-01-31,86,70.0,,0.7,60.199999999999996
2005-02-01,78,73.0,False,0.73,56.94
2005-02-02,82,73.0,,0.73,59.86
2005-02-03,81,73.0,,0.73,59.129999999999995
2005-02-04,77,73.0,,0.73,56.21
2005-02-05,62,73.0,,0.73,45.26
2005-02-06,92,73.0,,0.73,67.16
2005-02-07,92,73.0,,0.73,67.16
2005-02-08,76,73.0,,0.73,55.48
2005-02-09,63,73.0,,0.73,45.99
2005-02-10,89,73.0,,0.73,64.97
2005-02-11,66,73.0,,0.73,48.18
2005-02-12,76,73.0,,0.73,55.48
2005-02-13,68,73.0,,0.73,49.64
2005-02-14,93,73.0,,0.73,67.89
2005-02-15,75,73.0,,0.73,54.75
2005-02-16,72,73.0,,0.73,52.56
2005-02-17,75,73.0,,0.73,54.75
2005-02-18,75,73.0,,0.73,54.75
2005-02-19,77,73.0,,0.73,56.21
2005-02-20,83,73.0,,0.73,60.589999999999996
2005-02-21,79,73.0,,0.73,57.67
2005-02-22,90,73.0,,0.73,65.7
2005-02-23,84,73.0,,0.73,61.32
2005-02-24,98,73.0,,0.73,71.53999999999999
2005-02-25,81,73.0,,0.73,59.129999999999995
2005-02-26,100,73.0,,0.73,73.0
2005-02-27,60,73.0,,0.73,43.8
2005-02-28,83,73.0,,0.73,60.589999999999996
2005-03-01,93,73.0,False,0.73,67.89
2005-03-02,91,73.0,,0.73,66.42999999999999
2005-03-03,84,73.0,,0.73,61.32
2005-03-04,78,73.0,,0.73,56.94
2005-03-05,82,73.0,,0.73,59.86
2005-03-06,100,73.0,,0.73,73.0
2005-03-07,93,73.0,,0.73,67.89
2005-03-08,81,73.0,,0.73,59.129999999999995
2005-03-09,77,73.0,,0.73,56.21
2005-03-10,84,73.0,,0.73,61.32
2005-03-11,97,73.0,,0.73,70.81
2005-03-12,88,73.0,,0.73,64.24
2005-03-13,88,73.0,,0.73,64.24
2005-03-14,97,73.0,,0.73,70.81
2005-03-15,81,73.0,,0.73,59.129999999999995
2005-03-16,86,73.0,,0.73,62.78
2005-03-17,71,73.0,,0.73,51.83
2005-03-18,84,73.0,,0.73,61.32
2005-03-19,76,73.0,,0.73,55.48
2005-03-20,77,73.0,,0.73,56.21
2005-03-21,77,73.0,,0.73,56.21
2005-03-22,79,73.0,,0.73,57.67
2005-03-23,86,73.0,,0.73,62.78
2005-03-24,97,73.0,,0.73,70.81
2005-03-25,68,73.0,,0.73,49.64
2005-03-26,88,73.0,,0.73,64.24
2005-03-27,77,73.0,,0.73,56.21
2005-03-28,85,73.0,,0.73,62.05
2005-03-29,94,73.0,,0.73,68.62
2005-03-30,94,73.0,,0.73,68.62
2005-03-31,98,73.0,,0.73,71.53999999999999
2005-04-01,70,71.0,False,0.71,49.699999999999996
2005-04-02,83,71.0,,0.71,58.93
2005-04-03,65,71.0,,0.71,46.15
2005-04-04,93,71.0,,0.71,66.03
2005-04-05,0,71.0,,0.71,0.0
2005-04-06,88,71.0,,0.71,62.48
2005-04-07,97,71.0,,0.71,68.86999999999999
2005-04-08,82,71.0,,0.71,58.22
2005-04-09,68,71.0,,0.71,48.28
2005-04-10,95,71.0,,0.71,67.45
2005-04-11,91,71.0,,0.71,64.61
2005-04-12,87,71.0,,0.71,61.769999999999996
2005-04-13,96,71.0,,0.71,68.16
2005-04-14,83,71.0,,0.71,58.93
2005-04-15,80,71.0,,0.71,56.8
2005-04-16,91,71.0,,0.71,64.61
2005-04-17,80,71.0,,0.71,56.8
2005-04-18,91,71.0,,0.71,64.61
2005-04-19,98,71.0,,0.71,69.58
2005-04-20,96,71.0,,0.71,68.16
2005-04-21,92,71.0,,0.71,65.32
2005-04-22,80,71.0,,0.71,56.8
2005-04-23,77,71.0,,0.71,54.669999999999995
2005-04-24,71,71.0,,0.71,50.41
2005-04-25,100,71.0,,0.71,71.0
2005-04-26,83,71.0,,0.71,58.93
2005-04-27,78,71.0,,0.71,55.379999999999995
2005-04-28,93,71.0,,0.71,66.03
2005-04-29,82,71.0,,0.71,58.22
2005-04-30,79,71.0,,0.71,56.089999999999996
2005-05-01,82,68.0,False,0.68,55.760000000000005
2005-05-02,99,68.0,,0.68,67.32000000000001
2005-05-03,97,68.0,,0.68,65.96000000000001
2005-05-04,82,68.0,,0.68,55.760000000000005
2005-05-05,98,68.0,,0.68,66.64
2005-05-06,78,68.0,,0.68,53.040000000000006
2005-05-07,65,68.0,,0.68,44.2
2005-05-08,75,68.0,,0.68,51.00000000000001
2005-05-09,90,68.0,,0.68,61.2
2005-05-10,100,68.0,,0.68,68.0
2005-05-11,90,68.0,,0.68,61.2
2005-05-12,76,68.0,,0.68,51.68000000000001
2005-05-13,83,68.0,,0.68,56.440000000000005
2005-05-14,84,68.0,,0.68,57.120000000000005
2005-05-15,83,68.0,,0.68,56.440000000000005
2005-05-16,94,68.0,,0.68,63.92
2005-05-17,81,68.0,,0.68,55.080000000000005
2005-05-18,86,68.0,,0.68,58.480000000000004
2005-05-19,91,68.0,,0.68,61.88
2005-05-20,91,68.0,,0.68,61.88
2005-05-21,66,68.0,,0.68,44.88
2005-05-22,76,68.0,,0.68,51.68000000000001
2005-05-23,77,68.0,,0.68,52.36000000000001
2005-05-24,97,68.0,,0.68,65.96000000000001
2005-05-25,83,68.0,,0.68,56.440000000000005
2005-05-26,81,68.0,,0.68,55.080000000000005
2005-05-27,82,68.0,,0.68,55.760000000000005
2005-05-28,74,68.0,,0.68,50.32
2005-05-29,94,68.0,,0.68,63.92
2005-05-30,85,68.0,,0.68,57.800000000000004
2005-05-31,90,68.0,,0.68,61.2
2005-06-01,84,74.0,False,0.74,62.16
2005-06-02,96,74.0,,0.74,71.03999999999999
2005-06-03,100,74.0,,0.74,74.0
2005-06-04,75,74.0,,0.74,55.5
2005-06-05,68,74.0,,0.74,50.32
2005-06-06,81,74.0,,0.74,59.94
2005-06-07,84,74.0,,0.74,62.16
2005-06-08,85,74.0,,0.74,62.9
2005-06-09,93,74.0,,0.74,68.82
2005-06-10,79,74.0,,0.74,58.46
2005-06-11,76,74.0,,0.74,56.24
2005-06-12,79,74.0,,0.74,58.46
2005-06-13,85,74.0,,0.74,62.9
2005-06-14,67,74.0,,0.74,49.58
2005-06-15,84,74.0,,0.74,62.16
2005-06-16,77,74.0,,0.74,56.98
2005-06-17,90,74.0,,0.74,66.6
2005-06-18,78,74.0,,0.74,57.72
2005-06-19,72,74.0,,0.74,53.28
2005-06-20,80,74.0,,0.74,59.2
2005-06-21,88,74.0,,0.74,65.12
2005-06-22,90,74.0,,0.74,66.6
2005-06-23,77,74.0,,0.74,56.98
2005-06-24,81,74.0,,0.74,59.94
2005-06-25,77,74.0,,0.74,56.98
2005-06-26,76,74.0,,0.74,56.24
2005-06-27,82,74.0,,0.74,60.68
2005-06-28,90,74.0,,0.74,66.6
2005-06-29,88,74.0,,0.74,65.12
2005-06-30,69,74.0,,0.74,51.06
2005-07-01,66,74.0,False,0.74,48.839999999999996
2005-07-02,95,74.0,,0.74,70.3
2005-07-03,88,74.0,,0.74,65.12
2005-07-04,98,74.0,,0.74,72.52
2005-07-05,100,74.0,,0.74,74.0
2005-07-06,80,74.0,,0.74,59.2
2005-07-07,76,74.0,,0.74,56.24
2005-07-08,74,74.0,,0.74,54.76
2005-07-09,77,74.0,,0.74,56.98
2005-07-10,73,74.0,,0.74,54.019999999999996
2005-07-11,79,74.0,,0.74,58.46
2005-07-12,89,74.0,,0.74,65.86
2005-07-13,94,74.0,,0.74,69.56
2005-07-14,94,74.0,,0.74,69.56
2005-07-15,95,74.0,,0.74,70.3
2005-07-16,72,74.0,,0.74,53.28
2005-07-17,75,74.0,,0.74,55.5
2005-07-18,91,74.0,,0.74,67.34
2005-07-19,90,74.0,,0.74,66.6
2005-07-20,83,74.0,,0.74,61.42
2005-07-21,87,74.0,,0.74,64.38
2005-07-22,70,74.0,,0.74,51.8
2005-07-23,78,74.0,,0.74,57.72
2005-07-24,81,74.0,,0.74,59.94
2005-07-25,81,74.0,,0.74,59.94
2005-07-26,99,74.0,,0.74,73.26
2005-07-27,92,74.0,,0.74,68.08
2005-07-28,81,74.0,,0.74,59.94
2005-07-29,88,74.0,,0.74,65.12
2005-07-30,69,74.0,,0.74,51.06
2005-07-31,99,74.0,,0.74,73.26
2005-08-01,83,72.0,False,0.72,59.76
2005-08-02,79,72.0,,0.72,56.879999999999995
2005-08-03,78,72.0,,0.72,56.16
2005-08-04,81,72.0,,0.72,58.32
2005-08-05,82,72.0,,0.72,59.04
2005-08-06,67,72.0,,0.72,48.239999999999995
2005-08-07,77,72.0,,0.72,55.44
2005-08-08,93,72.0,,0.72,66.96
2005-08-09,84,72.0,,0.72,60.48
2005-08-10,81,72.0,,0.72,58.32
2005-08-11,87,72.0,,0.72,62.64
2005-08-12,66,72.0,,0.72,47.519999999999996
2005-08-13,79,72.0,,0.72,56.879999999999995
2005-08-14,65,72.0,,0.72,46.8
2005-08-15,90,72.0,,0.72,64.8
2005-08-16,75,72.0,,0.72,54.0
2005-08-17,88,72.0,,0.72,63.36
2005-08-18,83,72.0,,0.72,59.76
2005-08-19,75,72.0,,0.72,54.0
2005-08-20,78,72.0,,0.72,56.16
2005-08-21,89,72.0,,0.72,64.08
2005-08-22,82,72.0,,0.72,59.04
2005-08-23,76,72.0,,0.72,54.72
2005-08-24,63,72.0,,0.72,45.36
2005-08-25,100,72.0,,0.72,72.0
2005-08-26,78,72.0,,0.72,56.16
2005-08-27,88,72.0,,0.72,63.36
2005-08-28,73,72.0,,0.72,52.559999999999995
2005-08-29,76,72.0,,0.72,54.72
2005-08-30,75,72.0,,0.72,54.0
2005-08-31,69,72.0,,0.72,49.68
2005-09-01,83,68.0,False,0.68,56.440000000000005
2005-09-02,82,68.0,,0.68,55.760000000000005
2005-09-03,80,68.0,,0.68,54.400000000000006
2005-09-04,76,68.0,,0.68,51.68000000000001
2005-09-05,83,68.0,,0.68,56.440000000000005
2005-09-06,97,68.0,,0.68,65.96000000000001
2005-09-07,85,68.0,,0.68,57.800000000000004
2005-09-08,90,68.0,,0.68,61.2
2005-09-09,80,68.0,,0.68,54.400000000000006
2005-09-10,76,68.0,,0.68,51.68000000000001
2005-09-11,80,68.0,,0.68,54.400000000000006
2005-09-12,86,68.0,,0.68,58.480000000000004
2005-09-13,98,68.0,,0.68,66.64
2005-09-14,95,68.0,,0.68,64.60000000000001
2005-09-15,86,68.0,,0.68,58.480000000000004
2005-09-16,88,68.0,,0.68,59.84
2005-09-17,70,68.0,,0.68,47.6
2005-09-18,81,68.0,,0.68,55.080000000000005
2005-09-19,91,68.0,,0.68,61.88
2005-09-20,100,68.0,,0.68,68.0
2005-09-21,90,68.0,,0.68,61.2
2005-09-22,95,68.0,,0.68,64.60000000000001
2005-09-23,82,68.0,,0.68,55.760000000000005
