date,weight gain_unscaled,weight gain_monthly,isPartial,scale,weight gain
2005-01-01,38,44.0,False,0.44,16.72
2005-01-02,33,44.0,,0.44,14.52
2005-01-03,34,44.0,,0.44,14.96
2005-01-04,51,44.0,,0.44,22.44
2005-01-05,38,44.0,,0.44,16.72
2005-01-06,45,44.0,,0.44,19.8
2005-01-07,53,44.0,,0.44,23.32
2005-01-08,42,44.0,,0.44,18.48
2005-01-09,73,44.0,,0.44,32.12
2005-01-10,37,44.0,,0.44,16.28
2005-01-11,67,44.0,,0.44,29.48
2005-01-12,56,44.0,,0.44,24.64
2005-01-13,56,44.0,,0.44,24.64
2005-01-14,65,44.0,,0.44,28.6
2005-01-15,63,44.0,,0.44,27.72
2005-01-16,97,44.0,,0.44,42.68
2005-01-17,50,44.0,,0.44,22.0
2005-01-18,80,44.0,,0.44,35.2
2005-01-19,100,44.0,,0.44,44.0
2005-01-20,63,44.0,,0.44,27.72
2005-01-21,85,44.0,,0.44,37.4
2005-01-22,49,44.0,,0.44,21.56
2005-01-23,96,44.0,,0.44,42.24
2005-01-24,98,44.0,,0.44,43.12
2005-01-25,77,44.0,,0.44,33.88
2005-01-26,49,44.0,,0.44,21.56
2005-01-27,74,44.0,,0.44,32.56
2005-01-28,38,44.0,,0.44,16.72
2005-01-29,89,44.0,,0.44,39.160000000000004
2005-01-30,38,44.0,,0.44,16.72
2005-01-31,66,44.0,,0.44,29.04
2005-02-01,41,45.0,False,0.45,18.45
2005-02-02,43,45.0,,0.45,19.35
2005-02-03,39,45.0,,0.45,17.55
2005-02-04,33,45.0,,0.45,14.85
2005-02-05,32,45.0,,0.45,14.4
2005-02-06,59,45.0,,0.45,26.55
2005-02-07,66,45.0,,0.45,29.7
2005-02-08,48,45.0,,0.45,21.6
2005-02-09,49,45.0,,0.45,22.05
2005-02-10,69,45.0,,0.45,31.05
2005-02-11,24,45.0,,0.45,10.8
2005-02-12,38,45.0,,0.45,17.1
2005-02-13,81,45.0,,0.45,36.45
2005-02-14,46,45.0,,0.45,20.7
2005-02-15,49,45.0,,0.45,22.05
2005-02-16,41,45.0,,0.45,18.45
2005-02-17,46,45.0,,0.45,20.7
2005-02-18,52,45.0,,0.45,23.400000000000002
2005-02-19,63,45.0,,0.45,28.35
2005-02-20,64,45.0,,0.45,28.8
2005-02-21,50,45.0,,0.45,22.5
2005-02-22,40,45.0,,0.45,18.0
2005-02-23,41,45.0,,0.45,18.45
2005-02-24,37,45.0,,0.45,16.650000000000002
2005-02-25,44,45.0,,0.45,19.8
2005-02-26,100,45.0,,0.45,45.0
2005-02-27,46,45.0,,0.45,20.7
2005-02-28,37,45.0,,0.45,16.650000000000002
2005-03-01,41,48.0,False,0.48,19.68
2005-03-02,38,48.0,,0.48,18.24
2005-03-03,60,48.0,,0.48,28.799999999999997
2005-03-04,67,48.0,,0.48,32.16
2005-03-05,63,48.0,,0.48,30.24
2005-03-06,32,48.0,,0.48,15.36
2005-03-07,75,48.0,,0.48,36.0
2005-03-08,41,48.0,,0.48,19.68
2005-03-09,71,48.0,,0.48,34.08
2005-03-10,52,48.0,,0.48,24.96
2005-03-11,40,48.0,,0.48,19.2
2005-03-12,100,48.0,,0.48,48.0
2005-03-13,39,48.0,,0.48,18.72
2005-03-14,32,48.0,,0.48,15.36
2005-03-15,50,48.0,,0.48,24.0
2005-03-16,70,48.0,,0.48,33.6
2005-03-17,34,48.0,,0.48,16.32
2005-03-18,36,48.0,,0.48,17.28
2005-03-19,31,48.0,,0.48,14.879999999999999
2005-03-20,40,48.0,,0.48,19.2
2005-03-21,75,48.0,,0.48,36.0
2005-03-22,42,48.0,,0.48,20.16
2005-03-23,75,48.0,,0.48,36.0
2005-03-24,60,48.0,,0.48,28.799999999999997
2005-03-25,41,48.0,,0.48,19.68
2005-03-26,66,48.0,,0.48,31.68
2005-03-27,65,48.0,,0.48,31.2
2005-03-28,47,48.0,,0.48,22.56
2005-03-29,57,48.0,,0.48,27.36
2005-03-30,81,48.0,,0.48,38.879999999999995
2005-03-31,39,48.0,,0.48,18.72
2005-04-01,51,48.0,False,0.48,24.48
2005-04-02,53,48.0,,0.48,25.439999999999998
2005-04-03,30,48.0,,0.48,14.399999999999999
2005-04-04,97,48.0,,0.48,46.559999999999995
2005-04-05,0,48.0,,0.48,0.0
2005-04-06,63,48.0,,0.48,30.24
2005-04-07,61,48.0,,0.48,29.279999999999998
2005-04-08,46,48.0,,0.48,22.08
2005-04-09,75,48.0,,0.48,36.0
2005-04-10,49,48.0,,0.48,23.52
2005-04-11,87,48.0,,0.48,41.76
2005-04-12,48,48.0,,0.48,23.04
2005-04-13,45,48.0,,0.48,21.599999999999998
2005-04-14,61,48.0,,0.48,29.279999999999998
2005-04-15,64,48.0,,0.48,30.72
2005-04-16,83,48.0,,0.48,39.839999999999996
2005-04-17,25,48.0,,0.48,12.0
2005-04-18,55,48.0,,0.48,26.4
2005-04-19,62,48.0,,0.48,29.759999999999998
2005-04-20,100,48.0,,0.48,48.0
2005-04-21,48,48.0,,0.48,23.04
2005-04-22,80,48.0,,0.48,38.4
2005-04-23,68,48.0,,0.48,32.64
2005-04-24,60,48.0,,0.48,28.799999999999997
2005-04-25,27,48.0,,0.48,12.959999999999999
2005-04-26,70,48.0,,0.48,33.6
2005-04-27,31,48.0,,0.48,14.879999999999999
2005-04-28,39,48.0,,0.48,18.72
2005-04-29,72,48.0,,0.48,34.56
2005-04-30,30,48.0,,0.48,14.399999999999999
2005-05-01,32,45.0,False,0.45,14.4
2005-05-02,46,45.0,,0.45,20.7
2005-05-03,78,45.0,,0.45,35.1
2005-05-04,47,45.0,,0.45,21.150000000000002
2005-05-05,52,45.0,,0.45,23.400000000000002
2005-05-06,57,45.0,,0.45,25.650000000000002
2005-05-07,35,45.0,,0.45,15.75
2005-05-08,69,45.0,,0.45,31.05
2005-05-09,80,45.0,,0.45,36.0
2005-05-10,60,45.0,,0.45,27.0
2005-05-11,67,45.0,,0.45,30.150000000000002
2005-05-12,48,45.0,,0.45,21.6
2005-05-13,26,45.0,,0.45,11.700000000000001
2005-05-14,42,45.0,,0.45,18.900000000000002
2005-05-15,57,45.0,,0.45,25.650000000000002
2005-05-16,86,45.0,,0.45,38.7
2005-05-17,66,45.0,,0.45,29.7
2005-05-18,61,45.0,,0.45,27.45
2005-05-19,73,45.0,,0.45,32.85
2005-05-20,100,45.0,,0.45,45.0
2005-05-21,95,45.0,,0.45,42.75
2005-05-22,67,45.0,,0.45,30.150000000000002
2005-05-23,57,45.0,,0.45,25.650000000000002
2005-05-24,23,45.0,,0.45,10.35
2005-05-25,81,45.0,,0.45,36.45
2005-05-26,60,45.0,,0.45,27.0
2005-05-27,77,45.0,,0.45,34.65
2005-05-28,63,45.0,,0.45,28.35
